Order Number,Trial Alias,IWRS Number,Site Number,Ship To Country Code,Country Name,Lot Number,Expiration Date,Actual Qty,Carrier Code,Order Confirm Date,Actual Ship Date,Actual Delivery Date,Order Status,Warehouse ID,Ship To Number,Fit For Use
0DB649CA-F40,CT-1816-RCG,IWRS-3086375,SITE-190,KG,United States of America,LOT-36343625,2025-10-11,146,DHL,2025-07-31,2025-08-02,2025-08-07,Created,WH-294,SITE-190,No
E7347777-52D,CT-1816-RCG,IWRS-1536046,SITE-192,IE,Barbados,LOT-60968631,2026-10-17,97,DHL,2025-06-11,2025-06-20,2025-06-26,Completed,WH-294,SITE-192,Yes
3FF3E6F8-274,CT-8742-ECD,IWRS-9342212,SITE-176,VA,San Marino,LOT-48781281,2025-05-21,27,UPS,2024-12-20,2024-12-27,2025-01-04,Released,WH-294,SITE-176,Yes
DC052809-D93,CT-1816-RCG,IWRS-8081010,SITE-191,CG,Barbados,LOT-73297905,2027-10-04,211,Kuehne+Nagel,2025-01-04,2025-01-08,2025-01-17,In Progress,WH-294,SITE-191,Yes
26C6F3AA-518,CT-1816-RCG,IWRS-6802520,SITE-191,KR,Barbados,LOT-73297905,2027-10-04,250,Kuehne+Nagel,2024-12-05,2024-12-07,2024-12-18,Released,WH-294,SITE-191,Yes
BEBE3F6F-617,CT-5806-JWO,IWRS-7668338,SITE-121,GM,Algeria,LOT-91428756,2027-12-20,233,FedEx,2025-10-20,2025-10-28,2025-11-05,Closed,WH-294,SITE-121,Yes
72B8F29D-C0E,CT-6592-IDY,IWRS-2117558,SITE-110,CZ,Barbados,LOT-19994803,2027-03-23,199,Kuehne+Nagel,2025-01-20,2025-01-24,2025-02-03,Completed,WH-294,SITE-110,Yes
4C575DF3-DBF,CT-3395-UCM,IWRS-7383144,SITE-218,CO,Turkey,LOT-16679340,2027-01-15,7,DHL,2025-10-05,2025-10-15,2025-10-21,Created,WH-294,SITE-218,Yes
362FCDC7-090,CT-9781-BYC,IWRS-8315897,SITE-310,TM,Moldova,LOT-37532398,2026-09-16,169,FedEx,2025-10-14,2025-10-20,2025-10-30,In Progress,WH-294,SITE-310,No
D822806C-DEC,CT-6109-EDZ,IWRS-2784798,SITE-198,AD,Belize,LOT-70811881,2026-09-05,113,DHL,2025-06-10,2025-06-14,2025-06-28,In Progress,WH-294,SITE-198,Yes
87528E6A-790,CT-1816-RCG,IWRS-4926369,SITE-191,TW,Barbados,LOT-19895402,2026-05-19,85,DHL,2025-07-24,2025-07-29,2025-08-07,Created,WH-294,SITE-191,Yes
FF0D6EB9-415,CT-9831-IEW,IWRS-5742192,SITE-211,TL,Pitcairn Islands,LOT-72460791,2026-08-09,8,UPS,2025-01-27,2025-01-30,2025-02-07,Completed,WH-294,SITE-211,No
CA6F43AD-A7B,CT-9831-IEW,IWRS-7155536,SITE-207,CA,Jersey,LOT-46257312,2027-11-30,158,FedEx,2025-05-18,2025-05-25,2025-06-06,Completed,WH-294,SITE-207,No
215887CE-296,CT-3230-HFO,IWRS-5590979,SITE-288,SZ,Switzerland,LOT-65730343,2026-08-19,40,UPS,2024-12-16,2024-12-24,2025-01-05,Released,WH-294,SITE-288,Yes
6578EBA2-254,CT-8872-GKR,IWRS-1048319,SITE-141,IT,Philippines,LOT-24028484,2026-03-16,231,WorldCourier,2025-07-31,2025-08-05,2025-08-15,Released,WH-294,SITE-141,No
C8E46777-965,CT-9831-IEW,IWRS-9540446,SITE-206,WS,Azerbaijan,LOT-82476241,2025-06-26,169,DHL,2025-02-11,2025-02-17,2025-02-25,Closed,WH-294,SITE-206,Yes
FDCEFEF5-08F,CT-8742-ECD,IWRS-3092259,SITE-178,CF,San Marino,LOT-45571743,2025-05-24,69,UPS,2025-06-10,2025-06-19,2025-06-22,Released,WH-294,SITE-178,Yes
84B7FABF-DFC,CT-4229-AWU,IWRS-9745726,SITE-223,WS,New Caledonia,LOT-12068529,2025-11-10,124,UPS,2025-09-26,2025-10-02,2025-10-16,Created,WH-294,SITE-223,No
E2E08976-B06,CT-5806-JWO,IWRS-1774963,SITE-129,SB,Bulgaria,LOT-62532897,2027-05-10,102,FedEx,2025-04-08,2025-04-12,2025-04-23,Released,WH-294,SITE-129,No
B346DE58-18B,CT-8742-ECD,IWRS-5566895,SITE-178,ZW,San Marino,LOT-94846184,2026-06-19,208,WorldCourier,2025-04-25,2025-05-04,2025-05-09,Created,WH-294,SITE-178,Yes
24B63DC5-4E0,CT-2004-PSX,IWRS-5426456,SITE-107,DE,Guinea-Bissau,LOT-51070012,2025-12-01,193,WorldCourier,2025-03-29,2025-04-06,2025-04-15,Completed,WH-294,SITE-107,No
A3929C23-5C7,CT-3472-PNG,IWRS-8933003,SITE-300,LU,Trinidad and Tobago,LOT-21437748,2026-06-27,247,Kuehne+Nagel,2025-10-07,2025-10-14,2025-10-27,Released,WH-294,SITE-300,No
57C036FF-7C4,CT-8970-PLO,IWRS-7800233,SITE-113,GA,Liechtenstein,LOT-14354504,2025-07-25,101,DHL,2025-07-29,2025-08-06,2025-08-09,Closed,WH-294,SITE-113,Yes
C8CA32C6-E9E,CT-9831-IEW,IWRS-9774977,SITE-212,LI,Turkey,LOT-26376337,2026-09-04,32,FedEx,2025-10-21,2025-10-26,2025-11-01,Created,WH-294,SITE-212,No
ACC4DB4C-3ED,CT-3228-ZKT,IWRS-4430710,SITE-157,MN,Sudan,LOT-60873216,2025-12-23,138,WorldCourier,2025-09-08,2025-09-11,2025-09-23,Completed,WH-294,SITE-157,No
577BCE94-FDC,CT-8015-GMQ,IWRS-1478197,SITE-133,GA,Morocco,LOT-92879466,2027-09-05,48,Kuehne+Nagel,2025-03-15,2025-03-23,2025-03-31,Completed,WH-294,SITE-133,Yes
72E2F609-A3F,CT-3230-HFO,IWRS-9349841,SITE-289,NZ,Switzerland,LOT-10539218,2028-01-17,275,Kuehne+Nagel,2025-01-01,2025-01-06,2025-01-14,Completed,WH-294,SITE-289,No
5B67D985-194,CT-3395-UCM,IWRS-2250714,SITE-218,BS,Turkey,LOT-62567327,2026-09-17,126,FedEx,2025-01-04,2025-01-06,2025-01-09,Created,WH-294,SITE-218,No
A1F0CF54-5A3,CT-5014-EEP,IWRS-6080091,SITE-244,MY,Jordan,LOT-29384973,2027-05-26,270,UPS,2025-01-25,2025-02-03,2025-02-17,Closed,WH-294,SITE-244,Yes
150CE384-BD4,CT-5806-JWO,IWRS-7002026,SITE-120,BA,Algeria,LOT-62532897,2027-05-10,64,Kuehne+Nagel,2025-06-17,2025-06-26,2025-07-06,Closed,WH-294,SITE-120,Yes
1E2662CC-B8F,CT-1696-SCY,IWRS-8324495,SITE-152,HN,Dominican Republic,LOT-46656333,2026-12-03,197,WorldCourier,2025-08-22,2025-08-31,2025-09-10,Created,WH-294,SITE-152,Yes
10DC3E02-6DA,CT-7487-KNX,IWRS-9594116,SITE-274,GN,Niger,LOT-59884250,2026-03-21,172,FedEx,2024-12-19,2024-12-25,2024-12-28,Completed,WH-294,SITE-274,Yes
29A6CFAF-AF6,CT-1696-SCY,IWRS-2306265,SITE-148,NG,Haiti,LOT-44491067,2028-06-07,188,DHL,2025-05-21,2025-05-31,2025-06-08,Created,WH-294,SITE-148,Yes
04FD0749-0E8,CT-8970-PLO,IWRS-2754832,SITE-113,KM,Liechtenstein,LOT-84562329,2025-10-19,105,DHL,2025-01-19,2025-01-28,2025-02-05,Closed,WH-294,SITE-113,No
18BE1300-48F,CT-8970-PLO,IWRS-7798760,SITE-117,OM,Mozambique,LOT-14354504,2025-07-25,106,WorldCourier,2025-02-06,2025-02-16,2025-02-26,Closed,WH-294,SITE-117,Yes
2A431C19-BD6,CT-6551-IBW,IWRS-6958346,SITE-293,AD,Madagascar,LOT-20749320,2027-03-24,109,DHL,2025-01-08,2025-01-10,2025-01-15,Released,WH-294,SITE-293,No
B91ED3F0-13C,CT-6109-EDZ,IWRS-6093081,SITE-201,ML,Seychelles,LOT-70811881,2026-09-05,199,FedEx,2024-11-18,2024-11-24,2024-12-06,Closed,WH-294,SITE-201,No
E9DC4109-30B,CT-1816-RCG,IWRS-7615134,SITE-191,FM,Barbados,LOT-73297905,2027-10-04,169,Kuehne+Nagel,2025-03-21,2025-03-29,2025-04-08,Created,WH-294,SITE-191,Yes
654F1F56-570,CT-7487-KNX,IWRS-4051856,SITE-279,GY,Cuba,LOT-90900846,2026-03-28,85,WorldCourier,2025-05-26,2025-06-05,2025-06-08,Closed,WH-294,SITE-279,Yes
ADA890D8-F3F,CT-9781-BYC,IWRS-5985183,SITE-307,SO,Albania,LOT-50305764,2025-11-05,291,UPS,2025-07-23,2025-07-30,2025-08-02,In Progress,WH-294,SITE-307,No
ECE5617D-411,CT-8970-PLO,IWRS-1604824,SITE-117,MZ,Mozambique,LOT-74101873,2025-10-17,28,DHL,2024-12-31,2025-01-06,2025-01-10,Created,WH-294,SITE-117,Yes
044D2FC6-0A1,CT-7484-BIH,IWRS-6122956,SITE-262,AR,Belgium,LOT-26012891,2026-02-19,117,UPS,2025-10-06,2025-10-12,2025-10-23,Completed,WH-294,SITE-262,No
954B5F54-FC0,CT-3472-PNG,IWRS-2653157,SITE-305,PK,Libyan Arab Jamahiriya,LOT-89268420,2026-12-16,228,Kuehne+Nagel,2025-01-05,2025-01-15,2025-01-27,Completed,WH-294,SITE-305,No
41D466A6-21E,CT-5806-JWO,IWRS-9196573,SITE-124,VA,Guyana,LOT-70504064,2027-01-09,164,UPS,2025-10-25,2025-11-03,2025-11-17,Released,WH-294,SITE-124,Yes
7C1A47DE-DD1,CT-6592-IDY,IWRS-6106340,SITE-110,SG,Barbados,LOT-66123852,2028-07-06,51,UPS,2025-01-27,2025-02-01,2025-02-07,Created,WH-294,SITE-110,No
694E96DC-2A6,CT-8015-GMQ,IWRS-9351956,SITE-138,SI,Anguilla,LOT-21570201,2026-12-22,66,WorldCourier,2025-05-13,2025-05-22,2025-05-26,Closed,WH-294,SITE-138,Yes
41760EC3-898,CT-9781-BYC,IWRS-4618445,SITE-312,CZ,New Caledonia,LOT-72341875,2025-12-10,296,Kuehne+Nagel,2025-01-08,2025-01-10,2025-01-21,Completed,WH-294,SITE-312,Yes
CCFEC4B3-889,CT-8970-PLO,IWRS-4115370,SITE-115,UA,Liechtenstein,LOT-91814441,2026-02-14,10,UPS,2025-10-16,2025-10-21,2025-10-25,Created,WH-294,SITE-115,Yes
603EDC76-89F,CT-7487-KNX,IWRS-2285769,SITE-277,BT,Cyprus,LOT-90900846,2026-03-28,292,Kuehne+Nagel,2025-08-09,2025-08-19,2025-09-01,Closed,WH-294,SITE-277,No
535A2ABA-732,CT-1816-RCG,IWRS-5122357,SITE-190,AU,United States of America,LOT-60968631,2026-10-17,247,UPS,2025-04-20,2025-04-29,2025-05-07,Created,WH-294,SITE-190,No
060D2D29-5FD,CT-8015-GMQ,IWRS-3176570,SITE-134,PE,Marshall Islands,LOT-49095565,2026-06-14,210,Kuehne+Nagel,2025-11-03,2025-11-11,2025-11-17,Created,WH-294,SITE-134,No
29C1FE4B-0BF,CT-3472-PNG,IWRS-1515457,SITE-304,FM,Libyan Arab Jamahiriya,LOT-22463904,2025-09-22,155,UPS,2025-03-21,2025-03-31,2025-04-14,Completed,WH-294,SITE-304,Yes
CD20E168-B67,CT-3395-UCM,IWRS-6386648,SITE-213,NZ,Belize,LOT-52789053,2026-04-29,62,Kuehne+Nagel,2025-09-28,2025-10-02,2025-10-12,Closed,WH-294,SITE-213,No
F810F57F-82C,CT-3636-AVP,IWRS-5305331,SITE-258,TM,Nicaragua,LOT-41301239,2025-12-18,127,WorldCourier,2025-02-06,2025-02-11,2025-02-18,Created,WH-294,SITE-258,No
F58F8FB7-75D,CT-8015-GMQ,IWRS-4724935,SITE-138,BN,Anguilla,LOT-21570201,2026-12-22,193,UPS,2025-02-10,2025-02-14,2025-02-20,Completed,WH-294,SITE-138,Yes
A8BF7403-DA8,CT-4229-AWU,IWRS-1827983,SITE-226,UY,Ecuador,LOT-66136964,2026-11-16,92,UPS,2025-05-23,2025-06-02,2025-06-13,Released,WH-294,SITE-226,No
22D3A96C-CE5,CT-3472-PNG,IWRS-4011983,SITE-304,IL,Libyan Arab Jamahiriya,LOT-21437748,2026-06-27,167,DHL,2025-05-08,2025-05-18,2025-05-29,Released,WH-294,SITE-304,Yes
6BBDED17-78C,CT-8015-GMQ,IWRS-3168460,SITE-139,AZ,Anguilla,LOT-21570201,2026-12-22,223,DHL,2024-12-03,2024-12-05,2024-12-08,Created,WH-294,SITE-139,No
D1C0BAB1-86B,CT-9781-BYC,IWRS-3189848,SITE-311,NO,Moldova,LOT-96443919,2026-12-26,224,DHL,2025-06-23,2025-06-28,2025-07-02,Created,WH-294,SITE-311,No
7E8BFE7E-71C,CT-1696-SCY,IWRS-8610746,SITE-151,BS,Guyana,LOT-44491067,2028-06-07,269,Kuehne+Nagel,2025-03-02,2025-03-07,2025-03-11,Created,WH-294,SITE-151,No
C8C1DDA2-376,CT-7484-BIH,IWRS-9315240,SITE-265,BF,Heard Island and McDonald Islands,LOT-65547337,2026-04-22,112,WorldCourier,2025-07-01,2025-07-10,2025-07-15,Completed,WH-294,SITE-265,No
F038C3DD-DF4,CT-9831-IEW,IWRS-8079519,SITE-212,LU,Turkey,LOT-82476241,2025-06-26,203,Kuehne+Nagel,2024-11-28,2024-12-04,2024-12-07,Closed,WH-294,SITE-212,Yes
86905D6E-07A,CT-2004-PSX,IWRS-2999625,SITE-106,SK,Guinea-Bissau,LOT-68153288,2027-09-07,215,WorldCourier,2025-04-25,2025-04-28,2025-05-07,Released,WH-294,SITE-106,Yes
974CD620-D0E,CT-6910-RDE,IWRS-3230346,SITE-166,GD,Hungary,LOT-34198332,2026-11-08,236,UPS,2025-10-25,2025-11-04,2025-11-13,Closed,WH-294,SITE-166,No
A124C449-F40,CT-6109-EDZ,IWRS-3000493,SITE-193,UG,Guam,LOT-57559766,2025-09-05,284,DHL,2025-06-29,2025-07-08,2025-07-13,Created,WH-294,SITE-193,Yes
37B5CD9F-E09,CT-9771-CZL,IWRS-7524914,SITE-237,GR,Azerbaijan,LOT-73505709,2027-09-26,277,FedEx,2025-04-15,2025-04-23,2025-05-01,In Progress,WH-294,SITE-237,Yes
99D24A00-746,CT-3228-ZKT,IWRS-5154098,SITE-160,TL,Comoros,LOT-56689918,2027-02-21,291,Kuehne+Nagel,2025-06-11,2025-06-20,2025-07-02,In Progress,WH-294,SITE-160,Yes
105D5698-13F,CT-8742-ECD,IWRS-7882439,SITE-175,LC,Nauru,LOT-99482219,2027-01-22,38,WorldCourier,2025-09-24,2025-09-30,2025-10-06,Created,WH-294,SITE-175,Yes
4C90F0B2-38C,CT-7487-KNX,IWRS-9481372,SITE-273,SN,Niger,LOT-90900846,2026-03-28,34,UPS,2025-02-11,2025-02-18,2025-03-02,Released,WH-294,SITE-273,Yes
D12FEB9C-3EF,CT-8872-GKR,IWRS-4601203,SITE-145,YE,Cambodia,LOT-92214561,2027-10-18,288,WorldCourier,2025-08-14,2025-08-20,2025-08-28,Completed,WH-294,SITE-145,No
703C84BA-54F,CT-5806-JWO,IWRS-6265174,SITE-126,CH,Nicaragua,LOT-89350866,2025-02-07,175,FedEx,2024-12-14,2024-12-17,2024-12-30,Completed,WH-294,SITE-126,Yes
6AA14615-5B4,CT-1816-RCG,IWRS-9879498,SITE-192,GW,Barbados,LOT-73297905,2027-10-04,219,DHL,2025-05-25,2025-05-30,2025-06-08,In Progress,WH-294,SITE-192,Yes
79EDC353-4DF,CT-9781-BYC,IWRS-5210726,SITE-309,BA,Grenada,LOT-60226706,2026-10-02,250,WorldCourier,2025-10-04,2025-10-13,2025-10-19,Created,WH-294,SITE-309,No
AD35DE4B-215,CT-6910-RDE,IWRS-9314969,SITE-169,DE,Russian Federation,LOT-16824774,2025-09-28,236,DHL,2025-02-22,2025-02-25,2025-03-08,Completed,WH-294,SITE-169,No
5BF6AB13-B1D,CT-9781-BYC,IWRS-3702195,SITE-309,DE,Grenada,LOT-76547161,2027-05-21,103,WorldCourier,2025-10-27,2025-10-29,2025-11-10,Closed,WH-294,SITE-309,No
820B4015-B5D,CT-2004-PSX,IWRS-7157633,SITE-103,BS,Puerto Rico,LOT-39007987,2027-02-22,24,UPS,2025-09-27,2025-10-01,2025-10-15,Created,WH-294,SITE-103,Yes
CC4ACAE6-0A8,CT-9771-CZL,IWRS-1702727,SITE-236,DM,British Virgin Islands,LOT-16473868,2027-01-28,72,UPS,2025-01-03,2025-01-08,2025-01-18,Released,WH-294,SITE-236,Yes
420B1E11-8DA,CT-8015-GMQ,IWRS-4416133,SITE-139,VN,Anguilla,LOT-21570201,2026-12-22,93,DHL,2025-01-12,2025-01-14,2025-01-20,Closed,WH-294,SITE-139,No
0ACC4422-7D1,CT-3636-AVP,IWRS-1774023,SITE-254,PE,Pitcairn Islands,LOT-27778437,2025-04-09,222,DHL,2025-04-05,2025-04-11,2025-04-17,Completed,WH-294,SITE-254,Yes
AED5210F-538,CT-7487-KNX,IWRS-7202067,SITE-279,ML,Cuba,LOT-25529234,2025-04-14,168,DHL,2025-11-04,2025-11-13,2025-11-20,Created,WH-294,SITE-279,No
F2407184-2CE,CT-9771-CZL,IWRS-3292398,SITE-235,LR,British Virgin Islands,LOT-16473868,2027-01-28,64,UPS,2025-07-11,2025-07-14,2025-07-20,Completed,WH-294,SITE-235,No
38951FD6-B03,CT-3395-UCM,IWRS-5091840,SITE-213,AG,Belize,LOT-30151730,2027-03-31,223,FedEx,2025-01-29,2025-02-04,2025-02-16,Completed,WH-294,SITE-213,No
96B625BB-687,CT-6551-IBW,IWRS-4326878,SITE-293,IE,Madagascar,LOT-20749320,2027-03-24,149,Kuehne+Nagel,2025-07-04,2025-07-07,2025-07-10,Completed,WH-294,SITE-293,Yes
