trial_alias,order_number,batch_number,material_number,material_type,plant,inspection_type,inspection_start_date,end_date_of_the_inspection,inspection_lot_number,usage_decision_has_been_made,object_status,usage_decision_code,date_of_code_used_for_usage_decision
CT-1696-SCY,1E2662CC-B8F,LOT-46656333,MAT-78401,Ancillary Supply,US01,Triggered,2025-08-19,2025-08-24,IL62314072,No,In Progress,A,2025-08-27
CT-7487-KNX,10DC3E02-6DA,LOT-59884250,MAT-18458,Ancillary Supply,EU02,Triggered,2024-12-16,2024-12-21,IL33509967,No,In Progress,A,2024-12-24
CT-1696-SCY,29A6CFAF-AF6,LOT-44491067,MAT-78401,Ancillary Supply,US01,Initial,2025-05-18,2025-05-23,IL58811610,No,In Progress,B,2025-05-26
CT-8970-PLO,04FD0749-0E8,LOT-84562329,MAT-82398,Investigational Product,EU02,Initial,2025-01-16,2025-01-21,IL75322195,No,Closed,C,2025-01-24
CT-8970-PLO,18BE1300-48F,LOT-14354504,MAT-86920,Investigational Product,US01,Triggered,2025-02-03,2025-02-08,IL17912506,Yes,Closed,B,2025-02-11
CT-6551-IBW,2A431C19-BD6,LOT-20749320,MAT-52579,Comparator,US01,Triggered,2025-01-05,2025-01-10,IL68345226,Yes,Closed,B,2025-01-13
CT-6109-EDZ,B91ED3F0-13C,LOT-70811881,MAT-86168,Investigational Product,AP03,Initial,2024-11-15,2024-11-20,IL49728639,No,In Progress,A,2024-11-23
CT-1816-RCG,E9DC4109-30B,LOT-73297905,MAT-37872,Comparator,AP03,Routine,2025-03-18,2025-03-23,IL65906906,Yes,Open,A,2025-03-26
CT-7487-KNX,654F1F56-570,LOT-90900846,MAT-56157,Comparator,EU02,Triggered,2025-05-23,2025-05-28,IL39412639,No,In Progress,C,2025-05-31
CT-9781-BYC,ADA890D8-F3F,LOT-50305764,MAT-96156,Ancillary Supply,AP03,Routine,2025-07-20,2025-07-25,IL76071608,No,Closed,A,2025-07-28
CT-8970-PLO,ECE5617D-411,LOT-74101873,MAT-82398,Investigational Product,EU02,Routine,2024-12-28,2025-01-02,IL64135183,No,Closed,C,2025-01-05
CT-7484-BIH,044D2FC6-0A1,LOT-26012891,MAT-66257,Comparator,LAT04,Triggered,2025-10-03,2025-10-08,IL71194153,Yes,Closed,B,2025-10-11
CT-3472-PNG,954B5F54-FC0,LOT-89268420,MAT-84153,Comparator,US01,Initial,2025-01-02,2025-01-07,IL91061565,Yes,Closed,B,2025-01-10
CT-5806-JWO,41D466A6-21E,LOT-70504064,MAT-26378,Investigational Product,AP03,Routine,2025-10-22,2025-10-27,IL82111385,Yes,Closed,A,2025-10-30
CT-6592-IDY,7C1A47DE-DD1,LOT-66123852,MAT-49508,Ancillary Supply,LAT04,Initial,2025-01-24,2025-01-29,IL89303641,Yes,Closed,C,2025-02-01
CT-8015-GMQ,694E96DC-2A6,LOT-21570201,MAT-74459,Investigational Product,US01,Initial,2025-05-10,2025-05-15,IL30266385,No,Open,C,2025-05-18
CT-9781-BYC,41760EC3-898,LOT-72341875,MAT-96156,Ancillary Supply,AP03,Initial,2025-01-05,2025-01-10,IL49356993,No,Closed,B,2025-01-13
CT-8970-PLO,CCFEC4B3-889,LOT-91814441,MAT-85304,Ancillary Supply,AP03,Initial,2025-10-13,2025-10-18,IL27367600,No,Closed,C,2025-10-21
CT-7487-KNX,603EDC76-89F,LOT-90900846,MAT-56157,Comparator,EU02,Initial,2025-08-06,2025-08-11,IL49537296,No,Open,B,2025-08-14
CT-1816-RCG,535A2ABA-732,LOT-60968631,MAT-37872,Comparator,AP03,Routine,2025-04-17,2025-04-22,IL50119530,No,In Progress,C,2025-04-25
CT-8015-GMQ,060D2D29-5FD,LOT-49095565,MAT-74459,Investigational Product,US01,Initial,2025-10-31,2025-11-05,IL21665039,Yes,Closed,B,2025-11-08
CT-3472-PNG,29C1FE4B-0BF,LOT-22463904,MAT-45907,Ancillary Supply,LAT04,Triggered,2025-03-18,2025-03-23,IL63101016,No,Open,B,2025-03-26
CT-3395-UCM,CD20E168-B67,LOT-52789053,MAT-82814,Investigational Product,LAT04,Triggered,2025-09-25,2025-09-30,IL13037640,Yes,Open,B,2025-10-03
CT-3636-AVP,F810F57F-82C,LOT-41301239,MAT-46171,Ancillary Supply,AP03,Initial,2025-02-03,2025-02-08,IL47369793,Yes,Closed,C,2025-02-11
CT-8015-GMQ,F58F8FB7-75D,LOT-21570201,MAT-74459,Investigational Product,US01,Routine,2025-02-07,2025-02-12,IL28859713,Yes,Open,C,2025-02-15
CT-4229-AWU,A8BF7403-DA8,LOT-66136964,MAT-40089,Investigational Product,EU02,Triggered,2025-05-20,2025-05-25,IL80503145,No,Closed,C,2025-05-28
CT-3472-PNG,22D3A96C-CE5,LOT-21437748,MAT-84153,Comparator,US01,Triggered,2025-05-05,2025-05-10,IL62325971,Yes,Closed,C,2025-05-13
CT-8015-GMQ,6BBDED17-78C,LOT-21570201,MAT-74459,Investigational Product,US01,Initial,2024-11-30,2024-12-05,IL62766013,Yes,In Progress,A,2024-12-08
CT-9781-BYC,D1C0BAB1-86B,LOT-96443919,MAT-31615,Comparator,EU02,Initial,2025-06-20,2025-06-25,IL93015207,Yes,In Progress,B,2025-06-28
CT-1696-SCY,7E8BFE7E-71C,LOT-44491067,MAT-78401,Ancillary Supply,US01,Triggered,2025-02-27,2025-03-04,IL53800279,Yes,In Progress,A,2025-03-07
CT-7484-BIH,C8C1DDA2-376,LOT-65547337,MAT-74247,Investigational Product,EU02,Triggered,2025-06-28,2025-07-03,IL91861550,Yes,Open,C,2025-07-06
CT-9831-IEW,F038C3DD-DF4,LOT-82476241,MAT-16078,Comparator,LAT04,Routine,2024-11-25,2024-11-30,IL67771686,No,Closed,B,2024-12-03
CT-2004-PSX,86905D6E-07A,LOT-68153288,MAT-97442,Comparator,EU02,Initial,2025-04-22,2025-04-27,IL60497625,No,In Progress,C,2025-04-30
CT-6910-RDE,974CD620-D0E,LOT-34198332,MAT-22108,Comparator,US01,Initial,2025-10-22,2025-10-27,IL71260573,Yes,Open,B,2025-10-30
CT-6109-EDZ,A124C449-F40,LOT-57559766,MAT-14039,Investigational Product,EU02,Triggered,2025-06-26,2025-07-01,IL58550512,No,In Progress,B,2025-07-04
CT-9771-CZL,37B5CD9F-E09,LOT-73505709,MAT-22610,Ancillary Supply,LAT04,Triggered,2025-04-12,2025-04-17,IL14515589,No,Closed,C,2025-04-20
CT-3228-ZKT,99D24A00-746,LOT-56689918,MAT-30703,Investigational Product,AP03,Triggered,2025-06-08,2025-06-13,IL61105034,Yes,In Progress,C,2025-06-16
CT-8742-ECD,105D5698-13F,LOT-99482219,MAT-47140,Comparator,US01,Routine,2025-09-21,2025-09-26,IL53003627,No,Open,A,2025-09-29
CT-7487-KNX,4C90F0B2-38C,LOT-90900846,MAT-56157,Comparator,EU02,Triggered,2025-02-08,2025-02-13,IL36247914,No,Closed,C,2025-02-16
CT-8872-GKR,D12FEB9C-3EF,LOT-92214561,MAT-66331,Investigational Product,LAT04,Triggered,2025-08-11,2025-08-16,IL42657622,Yes,Open,B,2025-08-19
CT-5806-JWO,703C84BA-54F,LOT-89350866,MAT-81584,Comparator,US01,Routine,2024-12-11,2024-12-16,IL77929084,Yes,In Progress,C,2024-12-19
CT-1816-RCG,6AA14615-5B4,LOT-73297905,MAT-37872,Comparator,AP03,Routine,2025-05-22,2025-05-27,IL94926648,Yes,In Progress,A,2025-05-30
CT-9781-BYC,79EDC353-4DF,LOT-60226706,MAT-96156,Ancillary Supply,AP03,Routine,2025-10-01,2025-10-06,IL37107739,No,In Progress,C,2025-10-09
CT-6910-RDE,AD35DE4B-215,LOT-16824774,MAT-93657,Investigational Product,AP03,Routine,2025-02-19,2025-02-24,IL11272605,Yes,Closed,B,2025-02-27
CT-9781-BYC,5BF6AB13-B1D,LOT-76547161,MAT-98864,Ancillary Supply,AP03,Routine,2025-10-24,2025-10-29,IL87859822,Yes,Open,C,2025-11-01
CT-2004-PSX,820B4015-B5D,LOT-39007987,MAT-32011,Comparator,EU02,Initial,2025-09-24,2025-09-29,IL32449190,No,In Progress,A,2025-10-02
CT-9771-CZL,CC4ACAE6-0A8,LOT-16473868,MAT-22610,Ancillary Supply,LAT04,Triggered,2024-12-31,2025-01-05,IL82077209,Yes,Open,B,2025-01-08
CT-8015-GMQ,420B1E11-8DA,LOT-21570201,MAT-74459,Investigational Product,US01,Triggered,2025-01-09,2025-01-14,IL81345499,Yes,Closed,A,2025-01-17
CT-3636-AVP,0ACC4422-7D1,LOT-27778437,MAT-54383,Comparator,EU02,Initial,2025-04-02,2025-04-07,IL54132377,Yes,Closed,A,2025-04-10
CT-7487-KNX,AED5210F-538,LOT-25529234,MAT-56157,Comparator,EU02,Triggered,2025-11-01,2025-11-06,IL46308370,Yes,Closed,C,2025-11-09
CT-9771-CZL,F2407184-2CE,LOT-16473868,MAT-22610,Ancillary Supply,LAT04,Initial,2025-07-08,2025-07-13,IL33700076,No,In Progress,A,2025-07-16
CT-3395-UCM,38951FD6-B03,LOT-30151730,MAT-40706,Investigational Product,US01,Initial,2025-01-26,2025-01-31,IL78606497,Yes,Closed,C,2025-02-03
CT-6551-IBW,96B625BB-687,LOT-20749320,MAT-52579,Comparator,US01,Routine,2025-07-01,2025-07-06,IL57754683,No,In Progress,B,2025-07-09
