Status,Shipment,LPN#,LPN Status,Package Count,Type,Request Date,Date Accepted,Accepted By,Affiliate/Warehouse,Site,Investigator
Ready,SHP-6646751,LPN6927595441,Damaged,4,Site,2024-12-26,2024-12-28,Sherry Long,Coreyshire Logistics Center,North Laurenview Medical Center,Sherry Long
Ready,SHP-3857914,LPN6534583359,Damaged,4,Depot,2025-06-18,2025-06-08,Kimberly Bowman,Coreyshire Logistics Center,Carolfort Medical Center,Kimberly Bowman
Planning,SHP-6285175,LPN6591124624,Quarantined,6,Depot,2025-02-02,2025-02-05,Kimberly Richards,Coreyshire Logistics Center,Robertbury Medical Center,Kimberly Richards
Delayed,SHP-4286248,LPN9722831895,Damaged,9,Return,2025-03-07,2025-02-26,Samantha Jones,Coreyshire Logistics Center,Jeffersonville Medical Center,Samantha Jones
Planning,SHP-4964314,LPN3999858754,Damaged,10,Depot,2025-01-16,2025-01-15,Melissa Morris,Coreyshire Logistics Center,North Kimberly Medical Center,Melissa Morris
Ready,SHP-4250583,LPN4193883628,Damaged,7,Return,2024-12-09,2024-12-06,Dr. Melissa Donovan,Coreyshire Logistics Center,New Amberhaven Medical Center,Dr. Melissa Donovan
Shipped,SHP-9553602,LPN5708514090,Quarantined,8,Site,2025-04-01,2025-04-08,Michael Anderson,Coreyshire Logistics Center,Kathyshire Medical Center,Michael Anderson
Delivered,SHP-4203050,LPN3471833759,Damaged,10,Site,2025-06-12,2025-06-08,Heather Lewis,Coreyshire Logistics Center,Port Malik Medical Center,Heather Lewis
Planning,SHP-3665874,LPN9205414670,Quarantined,6,Site,2025-08-22,2025-08-02,Dale Warren,Coreyshire Logistics Center,Garciashire Medical Center,Dale Warren
Shipped,SHP-6281663,LPN5417374989,Quarantined,10,Depot,2025-01-29,2025-01-10,Samantha Jones,Coreyshire Logistics Center,Jeffersonville Medical Center,Samantha Jones
Delivered,SHP-8425009,LPN4054853219,Available,3,Return,2025-10-31,2025-10-23,Deborah Edwards,Coreyshire Logistics Center,Port Patrickport Medical Center,Deborah Edwards
Delayed,SHP-4826000,LPN5213446066,Quarantined,6,Site,2025-01-15,2025-01-27,Faith Hill,Coreyshire Logistics Center,East Brian Medical Center,Faith Hill
Ready,SHP-9606987,LPN4408659453,Dispensed,3,Site,2025-11-20,2025-11-17,Crystal Evans,Coreyshire Logistics Center,Lake Loganport Medical Center,Crystal Evans
Ready,SHP-3885304,LPN6672614235,Available,3,Return,2025-02-11,2025-02-07,Sherry Murphy,Coreyshire Logistics Center,New Joseph Medical Center,Sherry Murphy
Ready,SHP-2917942,LPN4015484395,Quarantined,10,Return,2025-06-12,2025-05-26,Allen Mayer,Coreyshire Logistics Center,Lake Theresabury Medical Center,Allen Mayer
Shipped,SHP-3909369,LPN6028213667,Dispensed,5,Depot,2025-02-03,2025-01-21,William Hernandez,Coreyshire Logistics Center,Douglaston Medical Center,William Hernandez
Shipped,SHP-4986663,LPN3559253129,Damaged,7,Site,2025-11-01,2025-10-25,Edward Watson,Coreyshire Logistics Center,Trevorside Medical Center,Edward Watson
Delayed,SHP-7694278,LPN3468506873,Damaged,5,Depot,2025-08-31,2025-09-01,Dylan Brooks,Coreyshire Logistics Center,South James Medical Center,Dylan Brooks
Shipped,SHP-9682275,LPN5148287568,Available,9,Depot,2025-05-11,2025-05-07,Dakota Cook,Coreyshire Logistics Center,South Briannaport Medical Center,Dakota Cook
Delivered,SHP-8621812,LPN4226956708,Damaged,6,Depot,2025-11-20,2025-11-17,Angela Greene,Coreyshire Logistics Center,Mackbury Medical Center,Angela Greene
Planning,SHP-2655995,LPN5597374945,Damaged,3,Depot,2025-03-28,2025-04-14,John Smith,Coreyshire Logistics Center,Brownborough Medical Center,John Smith
Shipped,SHP-6625107,LPN1903818272,Available,10,Depot,2025-10-07,2025-10-12,Kenneth Thomas,Coreyshire Logistics Center,North Christian Medical Center,Kenneth Thomas
Delayed,SHP-4022412,LPN7326617514,Dispensed,5,Depot,2025-02-26,2025-02-18,Lawrence Sanchez,Coreyshire Logistics Center,New Micheleview Medical Center,Lawrence Sanchez
Ready,SHP-5930785,LPN3788575907,Dispensed,2,Site,2025-03-03,2025-02-20,Allen Mayer,Coreyshire Logistics Center,Lake Theresabury Medical Center,Allen Mayer
Delayed,SHP-1382518,LPN2830049169,Damaged,3,Site,2025-06-18,2025-06-13,Amy Haney,Coreyshire Logistics Center,West Rebeccabury Medical Center,Amy Haney
Delivered,SHP-8832361,LPN7826254890,Damaged,10,Depot,2025-06-01,2025-05-29,John Smith,Coreyshire Logistics Center,Brownborough Medical Center,John Smith
Ready,SHP-3644772,LPN4333372668,Quarantined,2,Depot,2024-12-30,2024-12-08,Logan Rogers,Coreyshire Logistics Center,Rickport Medical Center,Logan Rogers
Delayed,SHP-1387707,LPN6194990483,Damaged,8,Site,2025-07-20,2025-07-02,Cameron Harris,Coreyshire Logistics Center,Lake Summerville Medical Center,Cameron Harris
Delivered,SHP-5566946,LPN6683126840,Dispensed,6,Site,2025-03-10,2025-03-11,Carol Campbell,Coreyshire Logistics Center,West Kristin Medical Center,Carol Campbell
Planning,SHP-9182038,LPN6316416769,Available,10,Site,2025-07-11,2025-07-15,Alan Strong,Coreyshire Logistics Center,West Brian Medical Center,Alan Strong
Shipped,SHP-6845535,LPN7432757746,Damaged,8,Return,2024-12-20,2024-12-07,Scott Allen,Coreyshire Logistics Center,Katherinemouth Medical Center,Scott Allen
Shipped,SHP-6598865,LPN7910731429,Dispensed,1,Site,2025-05-15,2025-05-07,Jesse Guzman,Coreyshire Logistics Center,Ramirezside Medical Center,Jesse Guzman
Shipped,SHP-7162968,LPN8984132558,Available,5,Depot,2025-11-05,2025-11-13,Steven Jackson,Coreyshire Logistics Center,New Linda Medical Center,Steven Jackson
Planning,SHP-8889301,LPN6280132847,Damaged,3,Site,2025-07-29,2025-07-13,Kelsey Thomas,Coreyshire Logistics Center,North Feliciaville Medical Center,Kelsey Thomas
Delivered,SHP-8528927,LPN3843376181,Quarantined,8,Depot,2025-05-05,2025-05-01,Jennifer Clark,Coreyshire Logistics Center,Kimberlychester Medical Center,Jennifer Clark
Ready,SHP-3054749,LPN3446749363,Dispensed,8,Site,2025-06-23,2025-07-02,April Rivera,Coreyshire Logistics Center,South Kenneth Medical Center,April Rivera
Delivered,SHP-7219203,LPN4296875735,Damaged,3,Return,2025-10-07,2025-10-06,Lisa Mcdonald,Coreyshire Logistics Center,Perryfurt Medical Center,Lisa Mcdonald
Delayed,SHP-9622020,LPN3789946543,Damaged,3,Depot,2025-02-23,2025-03-02,Sarah Aguirre,Coreyshire Logistics Center,Reginachester Medical Center,Sarah Aguirre
Ready,SHP-9258821,LPN2141836247,Dispensed,7,Return,2025-08-24,2025-08-28,Jose Wood,Coreyshire Logistics Center,North Heidi Medical Center,Jose Wood
Shipped,SHP-1525492,LPN7607806558,Dispensed,2,Return,2025-01-04,2024-12-30,Tommy Dawson,Coreyshire Logistics Center,Lake Matthewfort Medical Center,Tommy Dawson
Delayed,SHP-4221413,LPN1665904461,Quarantined,7,Return,2025-06-21,2025-06-08,Luke Shelton,Coreyshire Logistics Center,Port David Medical Center,Luke Shelton
Delayed,SHP-6016626,LPN8743824535,Available,6,Return,2025-10-12,2025-10-19,Sarah Richardson,Coreyshire Logistics Center,West Melanie Medical Center,Sarah Richardson
Shipped,SHP-3263783,LPN6155664820,Available,5,Depot,2025-03-19,2025-03-08,Jeffrey Jimenez,Coreyshire Logistics Center,Ramirezfurt Medical Center,Jeffrey Jimenez
Planning,SHP-9686706,LPN9929281353,Available,6,Return,2025-11-26,2025-11-10,Sarah Richardson,Coreyshire Logistics Center,West Melanie Medical Center,Sarah Richardson
Shipped,SHP-5314596,LPN7199526251,Damaged,2,Depot,2025-10-04,2025-10-15,Megan Hicks,Coreyshire Logistics Center,East Mitchellhaven Medical Center,Megan Hicks
Delayed,SHP-5767519,LPN5498602030,Available,3,Depot,2025-01-26,2025-01-18,Paul Burke,Coreyshire Logistics Center,Ramirezview Medical Center,Paul Burke
Shipped,SHP-9395484,LPN7457004542,Available,4,Return,2025-02-06,2025-01-20,Logan Rogers,Coreyshire Logistics Center,Rickport Medical Center,Logan Rogers
Ready,SHP-8535972,LPN9673604047,Quarantined,1,Depot,2025-05-01,2025-04-17,Michael Santiago,Coreyshire Logistics Center,East Christopherchester Medical Center,Michael Santiago
Ready,SHP-2946968,LPN4281169352,Dispensed,8,Depot,2025-12-03,2025-11-20,Heather Lewis,Coreyshire Logistics Center,Port Malik Medical Center,Heather Lewis
Delayed,SHP-1290186,LPN6874137729,Quarantined,3,Return,2025-07-26,2025-07-20,Deborah Lopez,Coreyshire Logistics Center,East Alexander Medical Center,Deborah Lopez
Ready,SHP-3721076,LPN2007888873,Dispensed,10,Site,2025-02-14,2025-02-16,Kenneth Thomas,Coreyshire Logistics Center,North Christian Medical Center,Kenneth Thomas
Delivered,SHP-9893465,LPN1093107075,Quarantined,2,Site,2025-07-16,2025-07-10,Melissa Morris,Coreyshire Logistics Center,North Kimberly Medical Center,Melissa Morris
