ID,Created,Request Type (Molecule Planner to Complete),Sample Status (NDP Material Coordinator to Complete),LY Number (Molecule Planner to Complete),Item Code (Molecule Planner to Complete),Lot Number (Molecule Planner to Complete),Target Date for Results (Molecule Planner to Complete),Sample Location (NDP Material Coordinator to Complete),Analytical Lab (NDP Material Coordinator to Complete),Analytical Rep Notified (NDP Material Coordinator to Complete),Modified Date
REV-199803,2025-04-05,Extension,Complete,LY790411,MAT-66257,LOT-16159838,2025-08-02,East Katrina Logistics Center,Port Omarborough Lab,Erin Robertson,2025-09-21
REV-650210,2024-11-15,Extension,Pending,LY479238,MAT-66374,LOT-31439488,2025-08-05,Ortizfort Logistics Center,East Keithtown Lab,Scott Griffin,2025-11-10
REV-529668,2025-02-16,Retest,Pending,LY801834,MAT-66374,LOT-34726751,2025-07-30,Meyerview Logistics Center,Joseborough Lab,Sandra Graham,2025-08-18
REV-876809,2024-12-09,Extension,Pending,LY223649,MAT-66374,LOT-69561395,2026-03-25,Timstad Logistics Center,Penastad Lab,Robert Herrera,2025-09-17
REV-881218,2025-04-03,Retest,Complete,LY847001,MAT-74247,LOT-65547337,2026-03-23,Christopherfurt Logistics Center,Tonychester Lab,Michael Hill,2025-10-19
REV-433702,2025-03-16,Extension,Pending,LY265088,MAT-74247,LOT-39340148,2025-11-10,Georgeview Logistics Center,North Cynthiamouth Lab,Terri Thomas,2025-10-10
REV-559239,2024-11-15,Retest,Complete,LY593837,MAT-18458,LOT-17450919,2027-01-14,Ortizfort Logistics Center,Tapiashire Lab,Matthew Martin,2025-08-27
REV-779408,2024-12-04,Retest,Pending,LY967468,MAT-18458,LOT-75893896,2025-11-12,North Christophertown Logistics Center,Stewartmouth Lab,James Hudson,2025-10-06
REV-626925,2024-12-14,Extension,Complete,LY248416,MAT-18458,LOT-59884250,2026-02-19,South Jennifer Logistics Center,Lake Brittany Lab,Gregory Lee,2025-11-02
REV-273015,2025-01-13,Extension,Complete,LY841393,MAT-18458,LOT-10801382,2025-09-07,Coreyshire Logistics Center,Ericfurt Lab,Nicholas Barron,2025-09-26
REV-794304,2024-12-28,Retest,Pending,LY172296,MAT-56157,LOT-90900846,2026-02-26,Port Tiffany Logistics Center,Lorichester Lab,Lori Chapman,2025-08-23
REV-969130,2024-12-17,Extension,Complete,LY514326,MAT-56157,LOT-70758392,2027-06-12,Lake Taratown Logistics Center,Williamtown Lab,Pamela Lucas,2025-08-17
REV-712260,2024-12-26,Extension,Pending,LY770350,MAT-56157,LOT-25529234,2025-03-15,Whitneybury Logistics Center,Ibarratown Lab,Aaron Reyes,2025-08-15
REV-384826,2025-02-24,Retest,Pending,LY507758,MAT-59372,LOT-99304671,2026-11-21,Jonesshire Logistics Center,North James Lab,Kathryn Klein,2025-08-29
REV-991394,2025-01-18,Retest,Pending,LY414792,MAT-59372,LOT-31152831,2025-08-08,Russellhaven Logistics Center,Faulknerberg Lab,Heather Smith,2025-09-29
REV-497329,2025-02-09,Extension,Complete,LY977996,MAT-73628,LOT-10539218,2027-12-18,South Lance Logistics Center,East Scotttown Lab,Donna Martinez,2025-09-27
REV-903969,2025-03-25,Extension,Complete,LY524388,MAT-73628,LOT-32873081,2027-10-07,Jonesville Logistics Center,Markburgh Lab,Tyler Davis,2025-09-06
REV-187310,2025-04-24,Extension,Complete,LY601797,MAT-68176,LOT-28229614,2026-11-14,Turnerview Logistics Center,Christinaborough Lab,Amy Johnson,2025-11-06
REV-320507,2025-02-21,Extension,Complete,LY997704,MAT-68176,LOT-78676156,2026-01-23,Turnerview Logistics Center,Lake Michaelfurt Lab,Marissa Gallegos,2025-11-05
REV-617078,2025-02-08,Extension,Pending,LY281094,MAT-68176,LOT-46366370,2025-10-02,Hernandezborough Logistics Center,Lake Laurahaven Lab,Samuel Leonard,2025-10-12
REV-184240,2025-03-05,Extension,Complete,LY432468,MAT-54713,LOT-65730343,2026-07-20,New Thomas Logistics Center,West Cameron Lab,Michael Cohen,2025-09-16
REV-662136,2025-02-08,Extension,Complete,LY725367,MAT-54713,LOT-63929636,2026-12-03,Port Charlene Logistics Center,Port Melissaside Lab,Kimberly Rush,2025-09-06
REV-716618,2025-01-17,Extension,Pending,LY493465,MAT-54713,LOT-58463446,2027-03-09,Freemanmouth Logistics Center,North Jenniferton Lab,Stacy Harrington,2025-11-02
REV-233715,2025-01-08,Extension,Complete,LY610469,MAT-54713,LOT-54197135,2028-01-13,Port Tiffany Logistics Center,Richardfurt Lab,Justin Hill,2025-09-21
REV-620085,2025-01-19,Extension,Pending,LY367848,MAT-75647,LOT-28144033,2027-04-02,Christopherfurt Logistics Center,Summerside Lab,Mr. Phillip Cain,2025-09-17
REV-485885,2025-01-23,Retest,Pending,LY521934,MAT-75647,LOT-11280930,2025-05-13,North Johnburgh Logistics Center,Ballton Lab,Joseph Larson,2025-10-19
REV-800937,2025-04-21,Extension,Complete,LY414091,MAT-79992,LOT-89806740,2026-06-09,South Jennifer Logistics Center,Port Justinfurt Lab,Jennifer Robertson MD,2025-11-12
REV-293930,2025-03-24,Retest,Pending,LY134871,MAT-79992,LOT-71401478,2025-12-30,Sullivanview Logistics Center,Wendyport Lab,Alyssa Jackson,2025-11-04
REV-862348,2025-02-25,Retest,Pending,LY754524,MAT-79992,LOT-34574127,2027-10-15,Hernandezborough Logistics Center,Jeffreychester Lab,Cheryl Williams,2025-08-18
REV-818500,2025-03-29,Extension,Complete,LY106619,MAT-52579,LOT-20749320,2027-02-22,Irwinmouth Logistics Center,Jeffreybury Lab,Ryan Logan,2025-09-13
REV-212036,2024-12-28,Extension,Pending,LY839411,MAT-52579,LOT-44540514,2026-08-20,Meganchester Logistics Center,North Anna Lab,Christopher Love,2025-10-25
REV-395898,2025-01-23,Extension,Pending,LY291247,MAT-52579,LOT-91103841,2025-09-04,Braunberg Logistics Center,North Caleb Lab,Sean Leblanc,2025-09-24
REV-845393,2025-04-09,Retest,Pending,LY325856,MAT-22152,LOT-59019698,2026-06-17,Meyerview Logistics Center,Adamsport Lab,Shawn Medina,2025-09-23
REV-809813,2025-02-15,Extension,Pending,LY298843,MAT-22152,LOT-36766763,2025-12-12,Tracyberg Logistics Center,New Erikmouth Lab,Johnny Cook,2025-09-06
REV-437389,2025-03-05,Extension,Pending,LY991707,MAT-45907,LOT-88008746,2026-12-09,Russellhaven Logistics Center,Amyside Lab,Tyler Cook,2025-09-13
REV-204171,2025-05-05,Extension,Pending,LY431481,MAT-45907,LOT-14377768,2026-12-11,Hernandezborough Logistics Center,Pottertown Lab,Andrea Morgan,2025-09-25
REV-510154,2024-12-08,Retest,Pending,LY506531,MAT-45907,LOT-16979238,2026-04-12,Ortizfort Logistics Center,West Samuel Lab,Michelle Russell,2025-09-22
REV-959358,2025-03-07,Extension,Pending,LY969986,MAT-45907,LOT-22463904,2025-08-23,New David Logistics Center,Rasmussenview Lab,Jacqueline Ramirez,2025-10-10
REV-301874,2025-02-22,Retest,Pending,LY828787,MAT-84153,LOT-21437748,2026-05-28,North Christophertown Logistics Center,West Stephen Lab,Laurie Hughes,2025-10-27
REV-782941,2025-03-08,Retest,Pending,LY425390,MAT-84153,LOT-89268420,2026-11-16,North Christophertown Logistics Center,East Lorifort Lab,Kristie Liu,2025-09-16
REV-822346,2025-05-05,Retest,Complete,LY440681,MAT-31615,LOT-96443919,2026-11-26,Sullivanview Logistics Center,Port Gregoryton Lab,Kelli Gregory,2025-10-21
REV-122055,2024-12-27,Retest,Complete,LY414095,MAT-31615,LOT-91403277,2025-10-02,Timstad Logistics Center,Melissabury Lab,Jennifer Perry,2025-11-12
REV-582435,2024-11-19,Extension,Pending,LY654637,MAT-31615,LOT-56495866,2025-09-04,Sullivanview Logistics Center,Johnsonshire Lab,David Davies,2025-08-19
REV-500596,2025-03-31,Extension,Complete,LY866915,MAT-98864,LOT-27880910,2026-10-20,Tracyberg Logistics Center,Wadeside Lab,Patrick Gates,2025-11-06
REV-198059,2025-05-09,Retest,Pending,LY213236,MAT-98864,LOT-76547161,2027-04-21,South Nathanmouth Logistics Center,East Troychester Lab,James Burke,2025-11-07
REV-686078,2025-01-25,Extension,Complete,LY255204,MAT-98864,LOT-37532398,2026-08-17,North Cameronchester Logistics Center,East Benjaminville Lab,Douglas Cole,2025-09-25
REV-546563,2025-03-20,Extension,Pending,LY171833,MAT-59079,LOT-30558715,2026-03-15,Meyersmouth Logistics Center,Lake Johnland Lab,Barbara Terrell,2025-10-05
REV-892764,2025-03-01,Extension,Pending,LY890842,MAT-59079,LOT-35724940,2025-07-12,South Conniebury Logistics Center,Herringborough Lab,Lisa Flynn,2025-08-16
REV-166734,2024-12-28,Retest,Pending,LY996473,MAT-59079,LOT-62858960,2026-08-21,East Katrina Logistics Center,Port Andrew Lab,Steven Burns,2025-10-05
REV-248480,2025-02-07,Extension,Complete,LY278140,MAT-96156,LOT-60226706,2026-09-02,Smithshire Logistics Center,South Timothyberg Lab,Marc Valenzuela,2025-10-17
REV-357502,2024-11-24,Extension,Complete,LY167997,MAT-96156,LOT-50305764,2025-10-06,Meganchester Logistics Center,Bankshaven Lab,Tyler Hunter,2025-09-12
REV-106826,2025-03-05,Retest,Complete,LY797031,MAT-96156,LOT-72341875,2025-11-10,New David Logistics Center,East Glenn Lab,Nathan Brooks,2025-10-25
