order_number,trial_alias,country_name,actual_qty,carrier_code,order_date,order_confirm_date,actual_ship_date,actual_delivery_date,shipment_addr_type,destination_addr_type,pod_activity_date,wh_id,requested_delivery_date,order_status,hu_id,tracking_number,from_country_name,fit_for_use,class_id,shipping_location,released_date_depot,ip_helper,shipment_prepare_duration,shipment_transit_duration,release_depot_duration,total_timeline
3B0FDA9F-884,CT-9831-IEW,Saint Kitts and Nevis,251,UPS,2025-07-30,2025-07-31,2025-08-09,2025-08-18,Depot,Site,2025-08-19,WH-294,2025-08-13,In Progress,HUL878661000,TRK93824148,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-08-08,Coreyshire Logistics Center (Saint Kitts and Nevis),10,9,11,19
A7510327-2D1,CT-3636-AVP,Saint Kitts and Nevis,163,UPS,2025-05-21,2025-05-22,2025-05-27,2025-06-08,Depot,Site,2025-06-08,WH-294,2025-06-01,Created,HUL874100587,TRK16865747,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-05-25,Coreyshire Logistics Center (Saint Kitts and Nevis),6,12,14,18
CE77A960-CDA,CT-7047-GQC,Saint Kitts and Nevis,282,Kuehne+Nagel,2025-04-24,2025-04-25,2025-05-04,2025-05-09,Depot,Site,2025-05-11,WH-294,2025-05-11,Completed,HUL342791177,TRK55075290,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-05-02,Coreyshire Logistics Center (Saint Kitts and Nevis),10,5,9,15
13D23ECC-032,CT-4229-AWU,Saint Kitts and Nevis,255,UPS,2025-09-20,2025-09-21,2025-09-28,2025-10-08,Depot,Site,2025-10-09,WH-294,2025-09-29,Closed,HUL963571345,TRK16328766,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-09-27,Coreyshire Logistics Center (Saint Kitts and Nevis),8,10,12,18
DB096D51-BDC,CT-3228-ZKT,Saint Kitts and Nevis,214,FedEx,2025-09-29,2025-09-30,2025-10-08,2025-10-20,Depot,Site,2025-10-22,WH-294,2025-10-28,Closed,HUL225222711,TRK71923099,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-10-07,Coreyshire Logistics Center (Saint Kitts and Nevis),9,12,15,21
5B47E6AA-FAF,CT-5014-EEP,Saint Kitts and Nevis,217,WorldCourier,2025-08-26,2025-08-27,2025-09-05,2025-09-15,Depot,Site,2025-09-16,WH-294,2025-09-04,Created,HUL936790963,TRK84723312,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-09-02,Coreyshire Logistics Center (Saint Kitts and Nevis),10,10,14,20
ECA8CBD1-E04,CT-6551-IBW,Saint Kitts and Nevis,296,Kuehne+Nagel,2024-11-18,2024-11-19,2024-11-28,2024-12-06,Depot,Site,2024-12-06,WH-294,2024-12-16,In Progress,HUL152147531,TRK24149685,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-11-26,Coreyshire Logistics Center (Saint Kitts and Nevis),10,8,10,18
D5E639AD-82A,CT-7487-KNX,Saint Kitts and Nevis,247,Kuehne+Nagel,2025-05-11,2025-05-12,2025-05-17,2025-05-29,Depot,Site,2025-05-31,WH-294,2025-05-21,Released,HUL506969986,TRK69658316,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-05-16,Coreyshire Logistics Center (Saint Kitts and Nevis),6,12,15,18
7C05434F-BD5,CT-2004-PSX,Saint Kitts and Nevis,77,Kuehne+Nagel,2025-03-02,2025-03-03,2025-03-10,2025-03-16,Depot,Site,2025-03-16,WH-294,2025-03-17,In Progress,HUL989106248,TRK65326789,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-03-08,Coreyshire Logistics Center (Saint Kitts and Nevis),8,6,8,14
75038E9B-BA2,CT-3395-UCM,Saint Kitts and Nevis,90,UPS,2024-11-23,2024-11-24,2024-11-30,2024-12-06,Depot,Site,2024-12-08,WH-294,2024-12-16,Completed,HUL394904246,TRK69380177,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-11-27,Coreyshire Logistics Center (Saint Kitts and Nevis),7,6,11,13
60F22C34-AA2,CT-5014-EEP,Saint Kitts and Nevis,192,UPS,2025-10-23,2025-10-24,2025-10-27,2025-11-01,Depot,Site,2025-11-02,WH-294,2025-11-15,In Progress,HUL690652387,TRK72174579,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-26,Coreyshire Logistics Center (Saint Kitts and Nevis),4,5,7,9
44597FDE-ED2,CT-2004-PSX,Saint Kitts and Nevis,101,FedEx,2025-06-15,2025-06-16,2025-06-18,2025-06-22,Depot,Site,2025-06-23,WH-294,2025-07-06,Completed,HUL821435966,TRK20231850,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-06-14,Coreyshire Logistics Center (Saint Kitts and Nevis),3,4,9,7
9853B6AB-C01,CT-6109-EDZ,Saint Kitts and Nevis,268,FedEx,2025-06-21,2025-06-22,2025-07-01,2025-07-09,Depot,Site,2025-07-10,WH-294,2025-07-17,Released,HUL861872687,TRK71507602,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-06-30,Coreyshire Logistics Center (Saint Kitts and Nevis),10,8,10,18
2D1D3AF0-A99,CT-8015-GMQ,Saint Kitts and Nevis,265,DHL,2025-10-06,2025-10-07,2025-10-13,2025-10-18,Depot,Site,2025-10-20,WH-294,2025-10-16,Released,HUL271843248,TRK82037649,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-11,Coreyshire Logistics Center (Saint Kitts and Nevis),7,5,9,12
19B119B0-986,CT-2004-PSX,Saint Kitts and Nevis,108,WorldCourier,2025-06-29,2025-06-30,2025-07-05,2025-07-15,Depot,Site,2025-07-15,WH-294,2025-07-14,In Progress,HUL979342984,TRK89991794,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-02,Coreyshire Logistics Center (Saint Kitts and Nevis),6,10,13,16
8733D49D-751,CT-9781-BYC,Saint Kitts and Nevis,84,UPS,2025-07-09,2025-07-10,2025-07-11,2025-07-23,Depot,Site,2025-07-24,WH-294,2025-07-31,Completed,HUL240297703,TRK60030207,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-10,Coreyshire Logistics Center (Saint Kitts and Nevis),2,12,14,14
DC77B20F-464,CT-6109-EDZ,Saint Kitts and Nevis,132,DHL,2025-05-02,2025-05-03,2025-05-05,2025-05-18,Depot,Site,2025-05-18,WH-294,2025-06-01,Created,HUL665226397,TRK85099830,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-05-04,Coreyshire Logistics Center (Saint Kitts and Nevis),3,13,14,16
7BB74C9C-D85,CT-3395-UCM,Saint Kitts and Nevis,40,FedEx,2025-03-30,2025-03-31,2025-04-07,2025-04-16,Depot,Site,2025-04-17,WH-294,2025-04-28,Released,HUL681717010,TRK40528428,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-03,Coreyshire Logistics Center (Saint Kitts and Nevis),8,9,14,17
3FCA798E-FD6,CT-9781-BYC,Saint Kitts and Nevis,48,UPS,2025-10-13,2025-10-14,2025-10-19,2025-10-25,Depot,Site,2025-10-26,WH-294,2025-11-11,Released,HUL905090908,TRK34981297,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-16,Coreyshire Logistics Center (Saint Kitts and Nevis),6,6,10,12
B83CFAB5-B68,CT-1696-SCY,Saint Kitts and Nevis,256,Kuehne+Nagel,2025-03-12,2025-03-13,2025-03-20,2025-03-27,Depot,Site,2025-03-27,WH-294,2025-04-09,Closed,HUL566526733,TRK00236073,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-03-19,Coreyshire Logistics Center (Saint Kitts and Nevis),8,7,8,15
6BF20FDB-A43,CT-8872-GKR,Saint Kitts and Nevis,61,Kuehne+Nagel,2025-04-06,2025-04-07,2025-04-09,2025-04-13,Depot,Site,2025-04-13,WH-294,2025-04-30,Closed,HUL652738458,TRK48938201,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-06,Coreyshire Logistics Center (Saint Kitts and Nevis),3,4,7,7
835C170B-558,CT-8742-ECD,Saint Kitts and Nevis,170,Kuehne+Nagel,2025-08-02,2025-08-03,2025-08-10,2025-08-19,Depot,Site,2025-08-21,WH-294,2025-08-19,Closed,HUL866960716,TRK41821226,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-08-07,Coreyshire Logistics Center (Saint Kitts and Nevis),8,9,14,17
88D93C9A-BB6,CT-6109-EDZ,Saint Kitts and Nevis,138,Kuehne+Nagel,2025-07-04,2025-07-05,2025-07-08,2025-07-12,Depot,Site,2025-07-12,WH-294,2025-07-31,In Progress,HUL614186378,TRK18556499,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-05,Coreyshire Logistics Center (Saint Kitts and Nevis),4,4,7,8
81962565-3BA,CT-8015-GMQ,Saint Kitts and Nevis,166,DHL,2025-07-17,2025-07-18,2025-07-20,2025-07-25,Depot,Site,2025-07-27,WH-294,2025-08-03,Completed,HUL281174728,TRK50033894,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-16,Coreyshire Logistics Center (Saint Kitts and Nevis),3,5,11,8
84171620-97D,CT-3472-PNG,Saint Kitts and Nevis,20,Kuehne+Nagel,2025-01-14,2025-01-15,2025-01-21,2025-01-25,Depot,Site,2025-01-26,WH-294,2025-02-02,Created,HUL120819991,TRK07542899,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-19,Coreyshire Logistics Center (Saint Kitts and Nevis),7,4,7,11
276063F6-554,CT-4229-AWU,Saint Kitts and Nevis,11,WorldCourier,2025-03-16,2025-03-17,2025-03-20,2025-03-26,Depot,Site,2025-03-26,WH-294,2025-04-11,Released,HUL722136534,TRK22779818,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-03-19,Coreyshire Logistics Center (Saint Kitts and Nevis),4,6,7,10
4D00FA38-F44,CT-1816-RCG,Saint Kitts and Nevis,280,Kuehne+Nagel,2025-01-15,2025-01-16,2025-01-25,2025-02-07,Depot,Site,2025-02-08,WH-294,2025-01-23,Created,HUL834910169,TRK52692895,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-01-21,Coreyshire Logistics Center (Saint Kitts and Nevis),10,13,18,23
B9D604CE-B27,CT-3228-ZKT,Saint Kitts and Nevis,255,DHL,2024-12-03,2024-12-04,2024-12-11,2024-12-23,Depot,Site,2024-12-24,WH-294,2025-01-02,Closed,HUL518978016,TRK71816173,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-08,Coreyshire Logistics Center (Saint Kitts and Nevis),8,12,16,20
88381E6F-DB8,CT-3636-AVP,Saint Kitts and Nevis,54,Kuehne+Nagel,2024-12-18,2024-12-19,2024-12-24,2025-01-03,Depot,Site,2025-01-04,WH-294,2024-12-31,In Progress,HUL262105959,TRK11185256,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-21,Coreyshire Logistics Center (Saint Kitts and Nevis),6,10,14,16
F82FA87C-017,CT-1696-SCY,Saint Kitts and Nevis,187,DHL,2025-10-05,2025-10-06,2025-10-09,2025-10-19,Depot,Site,2025-10-21,WH-294,2025-10-23,Released,HUL393872045,TRK40675913,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-05,Coreyshire Logistics Center (Saint Kitts and Nevis),4,10,16,14
0B269C0B-68B,CT-9781-BYC,Saint Kitts and Nevis,225,WorldCourier,2024-11-30,2024-12-01,2024-12-05,2024-12-13,Depot,Site,2024-12-14,WH-294,2024-12-12,Closed,HUL928849044,TRK54591663,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-03,Coreyshire Logistics Center (Saint Kitts and Nevis),5,8,11,13
53E512B4-F07,CT-7487-KNX,Saint Kitts and Nevis,48,Kuehne+Nagel,2025-02-12,2025-02-13,2025-02-21,2025-03-04,Depot,Site,2025-03-05,WH-294,2025-03-03,Created,HUL894041770,TRK58549056,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-02-18,Coreyshire Logistics Center (Saint Kitts and Nevis),9,11,15,20
21ED0BE4-ED0,CT-3230-HFO,Saint Kitts and Nevis,151,DHL,2025-06-05,2025-06-06,2025-06-13,2025-06-22,Depot,Site,2025-06-22,WH-294,2025-07-04,Completed,HUL861204791,TRK75765741,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-06-10,Coreyshire Logistics Center (Saint Kitts and Nevis),8,9,12,17
C9553C30-3C9,CT-7047-GQC,Saint Kitts and Nevis,64,FedEx,2025-07-26,2025-07-27,2025-08-05,2025-08-18,Depot,Site,2025-08-18,WH-294,2025-08-10,Released,HUL859874874,TRK59317593,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-08-01,Coreyshire Logistics Center (Saint Kitts and Nevis),10,13,17,23
C93ED8AD-5FB,CT-3472-PNG,Saint Kitts and Nevis,150,FedEx,2025-01-20,2025-01-21,2025-01-29,2025-02-08,Depot,Site,2025-02-10,WH-294,2025-01-31,Closed,HUL957986200,TRK10922794,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-28,Coreyshire Logistics Center (Saint Kitts and Nevis),9,10,13,19
56F016D1-42A,CT-9831-IEW,Saint Kitts and Nevis,217,FedEx,2025-05-07,2025-05-08,2025-05-10,2025-05-23,Depot,Site,2025-05-23,WH-294,2025-05-25,Created,HUL602193879,TRK48192281,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-05-09,Coreyshire Logistics Center (Saint Kitts and Nevis),3,13,14,16
DC6732A6-B32,CT-3395-UCM,Saint Kitts and Nevis,247,WorldCourier,2025-04-19,2025-04-20,2025-04-22,2025-05-03,Depot,Site,2025-05-05,WH-294,2025-05-01,Created,HUL628076443,TRK55261652,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-18,Coreyshire Logistics Center (Saint Kitts and Nevis),3,11,17,14
1C290466-294,CT-1816-RCG,Saint Kitts and Nevis,244,WorldCourier,2025-06-11,2025-06-12,2025-06-16,2025-06-26,Depot,Site,2025-06-28,WH-294,2025-07-06,Released,HUL660370939,TRK16193842,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-06-14,Coreyshire Logistics Center (Saint Kitts and Nevis),5,10,14,15
302EBFD8-75D,CT-1816-RCG,Saint Kitts and Nevis,21,UPS,2025-07-23,2025-07-24,2025-08-01,2025-08-10,Depot,Site,2025-08-12,WH-294,2025-08-11,Created,HUL811424779,TRK45009404,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-07-31,Coreyshire Logistics Center (Saint Kitts and Nevis),9,9,12,18
137379DF-53E,CT-7484-BIH,Saint Kitts and Nevis,206,DHL,2024-11-28,2024-11-29,2024-12-04,2024-12-11,Depot,Site,2024-12-12,WH-294,2024-12-24,In Progress,HUL905068658,TRK67982016,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-11-30,Coreyshire Logistics Center (Saint Kitts and Nevis),6,7,12,13
E70B0CD9-41B,CT-1696-SCY,Saint Kitts and Nevis,241,UPS,2025-06-13,2025-06-14,2025-06-22,2025-06-27,Depot,Site,2025-06-29,WH-294,2025-07-12,Completed,HUL421816892,TRK09212883,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-06-19,Coreyshire Logistics Center (Saint Kitts and Nevis),9,5,10,14
C3C4CA8C-DA3,CT-7484-BIH,Saint Kitts and Nevis,270,Kuehne+Nagel,2025-06-05,2025-06-06,2025-06-07,2025-06-16,Depot,Site,2025-06-18,WH-294,2025-06-14,Released,HUL631873316,TRK16786107,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-06-05,Coreyshire Logistics Center (Saint Kitts and Nevis),2,9,13,11
7D85A9BB-51A,CT-9771-CZL,Saint Kitts and Nevis,171,UPS,2025-04-08,2025-04-09,2025-04-18,2025-04-22,Depot,Site,2025-04-24,WH-294,2025-04-20,Created,HUL338148450,TRK85664191,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-16,Coreyshire Logistics Center (Saint Kitts and Nevis),10,4,8,14
9F746DC7-45B,CT-8015-GMQ,Saint Kitts and Nevis,161,UPS,2025-02-08,2025-02-09,2025-02-17,2025-02-28,Depot,Site,2025-03-02,WH-294,2025-02-18,Closed,HUL567287837,TRK00222818,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-02-14,Coreyshire Logistics Center (Saint Kitts and Nevis),9,11,16,20
F07DEB5E-390,CT-5014-EEP,Saint Kitts and Nevis,49,Kuehne+Nagel,2025-02-03,2025-02-04,2025-02-09,2025-02-15,Depot,Site,2025-02-17,WH-294,2025-03-03,Closed,HUL696193017,TRK57696359,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-02-05,Coreyshire Logistics Center (Saint Kitts and Nevis),6,6,12,12
DA07F536-CAB,CT-1696-SCY,Saint Kitts and Nevis,77,FedEx,2025-08-06,2025-08-07,2025-08-11,2025-08-14,Depot,Site,2025-08-14,WH-294,2025-08-24,Created,HUL381441924,TRK37805040,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-08-08,Coreyshire Logistics Center (Saint Kitts and Nevis),5,3,6,8
2F2C7D94-2CE,CT-3230-HFO,Saint Kitts and Nevis,14,FedEx,2025-09-29,2025-09-30,2025-10-01,2025-10-10,Depot,Site,2025-10-11,WH-294,2025-10-22,Closed,HUL550363137,TRK44430856,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-09-29,Coreyshire Logistics Center (Saint Kitts and Nevis),2,9,12,11
46866D25-F7F,CT-2004-PSX,Saint Kitts and Nevis,272,DHL,2025-05-14,2025-05-15,2025-05-16,2025-05-21,Depot,Site,2025-05-23,WH-294,2025-05-28,Completed,HUL414958746,TRK95760260,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-05-13,Coreyshire Logistics Center (Saint Kitts and Nevis),2,5,10,7
657B8A24-549,CT-5014-EEP,Saint Kitts and Nevis,225,DHL,2025-05-12,2025-05-13,2025-05-21,2025-05-24,Depot,Site,2025-05-24,WH-294,2025-06-09,Created,HUL733476854,TRK35311455,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-05-18,Coreyshire Logistics Center (Saint Kitts and Nevis),9,3,6,12
721F5CBB-8FF,CT-8970-PLO,Saint Kitts and Nevis,50,Kuehne+Nagel,2025-03-22,2025-03-23,2025-03-25,2025-04-05,Depot,Site,2025-04-05,WH-294,2025-04-11,Released,HUL977707648,TRK28426244,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-03-24,Coreyshire Logistics Center (Saint Kitts and Nevis),3,11,12,14
3C28F46E-D2C,CT-4229-AWU,Saint Kitts and Nevis,295,FedEx,2025-06-20,2025-06-21,2025-06-22,2025-07-06,Depot,Site,2025-07-06,WH-294,2025-07-17,In Progress,HUL740222733,TRK90892480,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-06-20,Coreyshire Logistics Center (Saint Kitts and Nevis),2,14,16,16
B4AACE38-46A,CT-5014-EEP,Saint Kitts and Nevis,169,UPS,2025-02-23,2025-02-24,2025-02-27,2025-03-06,Depot,Site,2025-03-06,WH-294,2025-03-10,Created,HUL558288829,TRK32337440,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-02-23,Coreyshire Logistics Center (Saint Kitts and Nevis),4,7,11,11
40399FB4-B0C,CT-7487-KNX,Saint Kitts and Nevis,68,WorldCourier,2025-02-01,2025-02-02,2025-02-03,2025-02-10,Depot,Site,2025-02-10,WH-294,2025-02-13,Closed,HUL795387813,TRK15913276,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-30,Coreyshire Logistics Center (Saint Kitts and Nevis),2,7,11,9
7B08EEA7-A6C,CT-3228-ZKT,Saint Kitts and Nevis,237,DHL,2025-03-29,2025-03-30,2025-04-05,2025-04-12,Depot,Site,2025-04-14,WH-294,2025-04-14,Created,HUL850896177,TRK34438573,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-01,Coreyshire Logistics Center (Saint Kitts and Nevis),7,7,13,14
7697D79B-3FA,CT-8742-ECD,Saint Kitts and Nevis,243,UPS,2025-01-24,2025-01-25,2025-01-26,2025-02-09,Depot,Site,2025-02-10,WH-294,2025-02-07,Created,HUL448105985,TRK04343100,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-23,Coreyshire Logistics Center (Saint Kitts and Nevis),2,14,18,16
30986C0B-785,CT-9771-CZL,Saint Kitts and Nevis,289,WorldCourier,2025-01-09,2025-01-10,2025-01-17,2025-01-20,Depot,Site,2025-01-20,WH-294,2025-01-19,In Progress,HUL995792017,TRK87775202,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-13,Coreyshire Logistics Center (Saint Kitts and Nevis),8,3,7,11
E09D9D69-D6E,CT-4229-AWU,Saint Kitts and Nevis,46,FedEx,2025-07-21,2025-07-22,2025-07-23,2025-08-06,Depot,Site,2025-08-07,WH-294,2025-08-20,Closed,HUL316361480,TRK07441580,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-21,Coreyshire Logistics Center (Saint Kitts and Nevis),2,14,17,16
272CA541-8B2,CT-8742-ECD,Saint Kitts and Nevis,195,Kuehne+Nagel,2025-10-12,2025-10-13,2025-10-22,2025-10-26,Depot,Site,2025-10-28,WH-294,2025-10-30,Completed,HUL695615807,TRK69835511,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-19,Coreyshire Logistics Center (Saint Kitts and Nevis),10,4,9,14
0DB649CA-F40,CT-1816-RCG,Saint Kitts and Nevis,146,DHL,2025-07-31,2025-08-01,2025-08-02,2025-08-07,Depot,Site,2025-08-09,WH-294,2025-08-19,Created,HUL320094175,TRK61313313,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-30,Coreyshire Logistics Center (Saint Kitts and Nevis),2,5,10,7
E7347777-52D,CT-1816-RCG,Saint Kitts and Nevis,97,DHL,2025-06-11,2025-06-12,2025-06-20,2025-06-26,Depot,Site,2025-06-27,WH-294,2025-07-08,Completed,HUL881145768,TRK28811593,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-06-17,Coreyshire Logistics Center (Saint Kitts and Nevis),9,6,10,15
3FF3E6F8-274,CT-8742-ECD,Saint Kitts and Nevis,27,UPS,2024-12-20,2024-12-21,2024-12-27,2025-01-04,Depot,Site,2025-01-04,WH-294,2025-01-08,Released,HUL755503638,TRK82307868,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-25,Coreyshire Logistics Center (Saint Kitts and Nevis),7,8,10,15
DC052809-D93,CT-1816-RCG,Saint Kitts and Nevis,211,Kuehne+Nagel,2025-01-04,2025-01-05,2025-01-08,2025-01-17,Depot,Site,2025-01-18,WH-294,2025-01-14,In Progress,HUL829998486,TRK90849850,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-04,Coreyshire Logistics Center (Saint Kitts and Nevis),4,9,14,13
26C6F3AA-518,CT-1816-RCG,Saint Kitts and Nevis,250,Kuehne+Nagel,2024-12-05,2024-12-06,2024-12-07,2024-12-18,Depot,Site,2024-12-19,WH-294,2024-12-15,Released,HUL256419664,TRK38440450,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-03,Coreyshire Logistics Center (Saint Kitts and Nevis),2,11,16,13
BEBE3F6F-617,CT-5806-JWO,Saint Kitts and Nevis,233,FedEx,2025-10-20,2025-10-21,2025-10-28,2025-11-05,Depot,Site,2025-11-06,WH-294,2025-11-09,Closed,HUL923501489,TRK73000980,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-25,Coreyshire Logistics Center (Saint Kitts and Nevis),8,8,12,16
72B8F29D-C0E,CT-6592-IDY,Saint Kitts and Nevis,199,Kuehne+Nagel,2025-01-20,2025-01-21,2025-01-24,2025-02-03,Depot,Site,2025-02-03,WH-294,2025-01-29,Completed,HUL681159704,TRK72825750,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-23,Coreyshire Logistics Center (Saint Kitts and Nevis),4,10,11,14
4C575DF3-DBF,CT-3395-UCM,Saint Kitts and Nevis,7,DHL,2025-10-05,2025-10-06,2025-10-15,2025-10-21,Depot,Site,2025-10-22,WH-294,2025-10-15,Created,HUL268929581,TRK93163098,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-13,Coreyshire Logistics Center (Saint Kitts and Nevis),10,6,9,16
362FCDC7-090,CT-9781-BYC,Saint Kitts and Nevis,169,FedEx,2025-10-14,2025-10-15,2025-10-20,2025-10-30,Depot,Site,2025-10-30,WH-294,2025-10-25,In Progress,HUL429449740,TRK07213239,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-19,Coreyshire Logistics Center (Saint Kitts and Nevis),6,10,11,16
D822806C-DEC,CT-6109-EDZ,Saint Kitts and Nevis,113,DHL,2025-06-10,2025-06-11,2025-06-14,2025-06-28,Depot,Site,2025-06-28,WH-294,2025-06-27,In Progress,HUL819822504,TRK34892702,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-06-11,Coreyshire Logistics Center (Saint Kitts and Nevis),4,14,17,18
87528E6A-790,CT-1816-RCG,Saint Kitts and Nevis,85,DHL,2025-07-24,2025-07-25,2025-07-29,2025-08-07,Depot,Site,2025-08-07,WH-294,2025-08-07,Created,HUL620039124,TRK11560528,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-07-27,Coreyshire Logistics Center (Saint Kitts and Nevis),5,9,11,14
FF0D6EB9-415,CT-9831-IEW,Saint Kitts and Nevis,8,UPS,2025-01-27,2025-01-28,2025-01-30,2025-02-07,Depot,Site,2025-02-08,WH-294,2025-02-05,Completed,HUL713123372,TRK11728883,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-29,Coreyshire Logistics Center (Saint Kitts and Nevis),3,8,10,11
CA6F43AD-A7B,CT-9831-IEW,Saint Kitts and Nevis,158,FedEx,2025-05-18,2025-05-19,2025-05-25,2025-06-06,Depot,Site,2025-06-07,WH-294,2025-06-17,Completed,HUL565358734,TRK49677901,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-05-23,Coreyshire Logistics Center (Saint Kitts and Nevis),7,12,15,19
215887CE-296,CT-3230-HFO,Saint Kitts and Nevis,40,UPS,2024-12-16,2024-12-17,2024-12-24,2025-01-05,Depot,Site,2025-01-07,WH-294,2025-01-01,Released,HUL101062255,TRK02681387,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-20,Coreyshire Logistics Center (Saint Kitts and Nevis),8,12,18,20
