Alternative BOM Id,Alternative BOM Text,Batch Id,Bill of material,BOM component Id,BomItem Category Description,BOM Item Number,BOM status,BOM text,BOM Usage,Bom Usage Description,Change Date Component,Change Date Header,Component Mat Type Desc,Co-Product flag,Costing Relevancy Flag,Create Date Component,Create Date Header,Item category bill of material,Item ID,Item ID STAS,Material Type,Material Number,Next Inspection Date,Phantom Item flag,Plant,Special procurement type for BOM item,UOM Header,Uom Id Component,Material Component,Trial Alias
505005933,School blood expect become always,BATCH-764084,BOM-17239,MAT-58266,Phantom Item,360966469,Obsolete,Amount become,Voice,Represent door international trip,2026-09-04,2025-01-31,Culture,No,840.91,2026-04-16,2025-10-23,Customer,751116244,985502109,Ancillary Supply,MAT-58266,2025-11-12,No,EU02,Off,Movement,902808333,MAT-58266,CT-3228-ZKT
217306794,Sound economy our front do,BATCH-764285,BOM-98821,MAT-23465,Phantom Item,433764258,Obsolete,Level game prepare,Program,Ok paper,2026-01-25,2024-06-13,Soon,Yes,2630.06,2026-08-10,2026-08-17,Coach,797203346,309065085,Comparator,MAT-23465,2026-06-12,No,LAT04,Mouth,Professional,253236448,MAT-23465,CT-6910-RDE
270191114,Yourself alone through magazine,BATCH-219960,BOM-61636,MAT-33689,Phantom Item,661936654,Obsolete,Republican involve word,Take,Analysis six treat eat,2023-11-23,2025-05-14,Last,No,374.89,2024-07-16,2025-03-20,Security,174097758,641957188,Comparator,MAT-23465,2024-02-16,Yes,AP03,Operation,Interview,692269486,MAT-33689,CT-6910-RDE
770701480,One himself scene,BATCH-383080,BOM-75487,MAT-22108,Phantom Item,604109739,Active,Toward life central improve miss,Mother,Customer fire little where risk,2026-01-13,2025-04-10,Before,Yes,695.37,2024-10-22,2024-04-14,Tree,366570894,353232339,Comparator,MAT-23465,2025-03-14,Yes,AP03,Even,Whatever,246811933,MAT-22108,CT-6910-RDE
873448454,Perhaps two traditional,BATCH-556515,BOM-13769,MAT-93657,Phantom Item,332761772,Active,Age value within never,Decade,Sit however peace talk,2024-10-08,2025-06-09,Trip,Yes,4495.43,2026-08-07,2025-07-25,Home,876908819,137206896,Comparator,MAT-23465,2025-12-21,Yes,AP03,Series,Senior,884282290,MAT-93657,CT-6910-RDE
645472185,Whatever age card study,BATCH-876818,BOM-52809,MAT-23465,Stock Item,318911265,Active,Trip dinner plan yourself,A,Its agency,2025-03-21,2025-09-06,Election,No,841.15,2026-01-09,2026-01-05,Field,189175684,698207026,Ancillary Supply,MAT-33689,2025-08-22,No,LAT04,Catch,Either,192591611,MAT-23465,CT-6910-RDE
755959628,Thousand win reveal current,BATCH-540084,BOM-62236,MAT-33689,Stock Item,868394080,Active,Recognize natural,Keep,Material teacher some everything,2026-10-26,2025-07-07,Control,No,4711.28,2024-12-30,2025-12-05,Class,451722475,649055457,Ancillary Supply,MAT-33689,2024-04-30,No,US01,Door,National,448197039,MAT-33689,CT-6910-RDE
995150549,Find trial science behavior,BATCH-728752,BOM-20382,MAT-22108,Phantom Item,598088589,Active,Wall later over course,Rate,Out themselves become,2026-09-28,2024-09-21,Anyone,No,59.06,2025-07-17,2026-04-17,Response,114638463,582654238,Ancillary Supply,MAT-33689,2024-05-22,No,EU02,During,Recognize,459974384,MAT-22108,CT-6910-RDE
211203359,Loss ask but order,BATCH-842600,BOM-22977,MAT-93657,Phantom Item,655404677,Obsolete,Card bank notice near,Soldier,Mention off road arrive,2024-11-10,2024-03-10,Poor,Yes,263.07,2024-08-10,2024-11-11,Accept,747950852,393456985,Ancillary Supply,MAT-33689,2026-09-03,Yes,LAT04,Better,Catch,856780055,MAT-93657,CT-6910-RDE
368668575,Trouble wrong,BATCH-276782,BOM-69447,MAT-23465,Stock Item,709710863,Active,Likely mean image ten state,Parent,Push action but newspaper,2026-07-13,2025-06-09,Newspaper,Yes,1605.48,2026-10-12,2026-01-19,Stock,666316226,197038904,Comparator,MAT-22108,2026-07-25,No,LAT04,Half,Drive,267605165,MAT-23465,CT-6910-RDE
225948256,Memory rather sort believe,BATCH-814865,BOM-64870,MAT-33689,Phantom Item,999997560,Obsolete,Them way,Nor,Economic white put trade out,2025-03-22,2025-11-09,Yourself,No,3699.13,2025-05-18,2025-01-20,Decade,169246097,432448496,Comparator,MAT-22108,2024-03-18,No,AP03,Participant,Consider,731515790,MAT-33689,CT-6910-RDE
185448445,In show sing as,BATCH-900191,BOM-98322,MAT-22108,Phantom Item,159762198,Obsolete,Always interesting,You,Social base property late thank,2026-06-24,2024-12-13,Mouth,No,507.72,2025-07-31,2025-05-10,Speak,250281635,456959586,Comparator,MAT-22108,2024-03-24,No,AP03,Agency,Magazine,890944328,MAT-22108,CT-6910-RDE
812247992,Whatever dark any,BATCH-485743,BOM-50706,MAT-93657,Stock Item,155449480,Obsolete,Shake ahead task,Yard,Career pay anyone really,2024-06-12,2024-10-09,Majority,Yes,4015.85,2025-07-16,2024-01-02,Would,617702154,193659402,Comparator,MAT-22108,2025-10-22,No,EU02,Federal,Guy,778561108,MAT-93657,CT-6910-RDE
374897451,Never up green,BATCH-642056,BOM-34178,MAT-23465,Phantom Item,324156383,Obsolete,Hard large late various,Action,Look majority avoid condition,2026-07-16,2025-07-07,Identify,Yes,709.82,2026-03-30,2024-03-06,Visit,294213382,132085802,Investigational Product,MAT-93657,2024-01-23,Yes,EU02,Skill,Matter,361854593,MAT-23465,CT-6910-RDE
243385252,Fund keep career finally,BATCH-207771,BOM-20863,MAT-33689,Phantom Item,636251603,Active,Example lot nature full,Material,Response else oil pressure,2026-06-24,2024-08-23,None,No,1459.35,2026-05-26,2024-05-06,Everyone,790980655,657543476,Investigational Product,MAT-93657,2024-06-03,Yes,EU02,Back,Course,159163030,MAT-33689,CT-6910-RDE
785140111,Sister oil form agent,BATCH-499622,BOM-17235,MAT-22108,Phantom Item,997091340,Obsolete,There would,Sure,Their pay office,2024-04-04,2024-06-26,Would,No,2246.25,2023-11-16,2026-10-02,Story,308476530,810608173,Investigational Product,MAT-93657,2024-12-30,No,EU02,Watch,Film,828264600,MAT-22108,CT-6910-RDE
214842333,Table road must least,BATCH-720148,BOM-98823,MAT-93657,Phantom Item,409990384,Active,Allow cut baby question,Across,Something event set,2025-11-21,2024-06-17,Growth,Yes,986.01,2026-01-23,2023-11-30,School,105105021,528013439,Investigational Product,MAT-93657,2025-02-22,No,LAT04,Sort,Century,771794378,MAT-93657,CT-6910-RDE
486515469,Car half occur traditional,BATCH-780827,BOM-39832,MAT-16848,Stock Item,799818821,Obsolete,View carry,Range,Owner interesting fear chance,2026-02-28,2024-01-31,Full,Yes,2066.91,2025-10-22,2024-12-05,Check,375779689,188541739,Comparator,MAT-16848,2025-11-14,Yes,EU02,Black,Effort,819689639,MAT-16848,CT-8742-ECD
437084642,Issue owner dog spring,BATCH-278390,BOM-93907,MAT-47254,Phantom Item,994188413,Obsolete,Manage many life factor,Example,Really hit,2026-08-13,2024-08-15,Describe,Yes,1004.61,2025-03-08,2025-03-02,Response,224109160,319438239,Comparator,MAT-16848,2024-04-09,No,AP03,Bit,Player,166652220,MAT-47254,CT-8742-ECD
991921255,Choose build else,BATCH-964484,BOM-84239,MAT-15875,Stock Item,277716129,Obsolete,Save tell fire continue,Want,Where occur,2025-07-07,2024-09-18,American,No,3147.3,2025-03-02,2024-01-16,Professor,127315512,304965252,Comparator,MAT-16848,2025-05-22,No,US01,Appear,Spring,460845299,MAT-15875,CT-8742-ECD
168998218,Class past everything choose,BATCH-297079,BOM-88291,MAT-47140,Phantom Item,244009231,Active,Church base page,Dark,Truth mean red,2024-06-24,2025-08-19,Thousand,No,345.44,2026-01-04,2024-08-14,Present,583858495,428846976,Comparator,MAT-16848,2026-08-05,Yes,US01,Technology,Once,668742934,MAT-47140,CT-8742-ECD
615113572,Value work what attention million,BATCH-784725,BOM-68918,MAT-16848,Stock Item,148945988,Active,Also religious four,Another,Reduce effort skill throughout,2025-02-19,2024-06-28,Land,Yes,1817.84,2026-10-11,2024-11-15,Care,303719779,895152272,Comparator,MAT-47254,2024-12-06,No,EU02,If,Back,964802695,MAT-16848,CT-8742-ECD
597047773,Perform reflect personal,BATCH-837316,BOM-58827,MAT-47254,Stock Item,184306679,Obsolete,Letter about player work agreement,Someone,Fall the pick the free,2025-12-09,2025-05-26,Someone,No,4771.17,2026-09-25,2024-07-31,Military,830272482,780642353,Comparator,MAT-47254,2024-03-06,Yes,US01,News,Top,606678312,MAT-47254,CT-8742-ECD
242071954,Painting activity better alone letter,BATCH-188596,BOM-52668,MAT-15875,Phantom Item,257012284,Obsolete,Science include nature practice billion,Beautiful,Something operation bag get,2026-07-15,2025-06-19,Church,No,864.87,2024-12-13,2025-05-18,Worker,887008906,219459657,Comparator,MAT-47254,2026-11-07,Yes,AP03,Money,Live,261840368,MAT-15875,CT-8742-ECD
371876302,Magazine same best card sport,BATCH-816049,BOM-64834,MAT-47140,Stock Item,148131896,Obsolete,Far case series final,Commercial,Child score,2026-03-07,2025-07-06,Reason,Yes,2141.94,2026-01-19,2026-02-17,Computer,244382281,134986582,Comparator,MAT-47254,2024-07-24,Yes,EU02,Own,Man,289236354,MAT-47140,CT-8742-ECD
934049521,Usually trade offer personal me,BATCH-448178,BOM-36056,MAT-16848,Stock Item,506524136,Active,Degree I per choice evidence,Reach,Total partner,2024-08-09,2024-08-05,Although,Yes,4282.64,2025-10-07,2025-10-02,Not,376006445,261454674,Ancillary Supply,MAT-15875,2024-09-01,Yes,AP03,Challenge,Brother,191545891,MAT-16848,CT-8742-ECD
397312937,Crime open drug,BATCH-966055,BOM-90612,MAT-47254,Stock Item,875642948,Active,Yeah political,Cold,Bank approach cell,2025-10-01,2024-08-05,Half,No,4889.91,2023-11-24,2024-07-11,Out,575982983,504900905,Ancillary Supply,MAT-15875,2025-05-17,Yes,US01,Attorney,Forget,296735917,MAT-47254,CT-8742-ECD
877383468,Care friend,BATCH-918779,BOM-76740,MAT-15875,Stock Item,680711692,Active,Each international,Which,Bill face candidate believe,2025-11-13,2024-03-19,Over,Yes,1515.53,2025-04-07,2023-12-04,Born,717761350,312274466,Ancillary Supply,MAT-15875,2025-04-21,Yes,LAT04,Area,Admit,899869084,MAT-15875,CT-8742-ECD
638898323,Action upon because west,BATCH-633177,BOM-81463,MAT-47140,Stock Item,582006795,Obsolete,You degree at,Dog,Window speech position music one,2026-03-02,2023-12-17,Nearly,Yes,673.92,2026-06-16,2026-05-19,Somebody,192727129,686100057,Ancillary Supply,MAT-15875,2024-05-24,No,LAT04,He,Read,735368364,MAT-47140,CT-8742-ECD
258292694,Edge wife technology statement,BATCH-270134,BOM-36372,MAT-16848,Phantom Item,794840872,Active,Off attention hope create,Science,Particular right,2025-10-16,2025-09-13,Seven,No,1170.25,2024-05-27,2025-11-25,Us,390171192,605639103,Comparator,MAT-47140,2024-06-25,No,US01,Western,Room,452151827,MAT-16848,CT-8742-ECD
531248701,Market follow big,BATCH-467818,BOM-65451,MAT-47254,Stock Item,610740938,Active,Instead there summer investment,Every,Improve economy,2026-01-16,2024-12-27,Toward,Yes,4048.79,2025-12-17,2024-08-14,Wonder,598923473,936095502,Comparator,MAT-47140,2024-06-14,No,EU02,Land,Major,528390855,MAT-47254,CT-8742-ECD
884491040,Talk realize myself whether,BATCH-988544,BOM-10763,MAT-15875,Phantom Item,944633207,Active,Order opportunity,Able,Tree building financial,2026-08-14,2025-03-25,Development,No,1097.66,2026-01-12,2026-05-12,Management,688356976,720414114,Comparator,MAT-47140,2025-05-17,No,EU02,Way,Laugh,761275690,MAT-15875,CT-8742-ECD
680197865,Week girl off,BATCH-204952,BOM-78486,MAT-47140,Stock Item,679410183,Obsolete,Charge hand front,Born,Record daughter five,2026-02-06,2025-07-30,Expert,No,1662.01,2025-01-01,2024-01-08,Teacher,518107639,319960667,Comparator,MAT-47140,2023-12-29,Yes,LAT04,Wide,Place,360803441,MAT-47140,CT-8742-ECD
555214746,Become five general for measure,BATCH-601241,BOM-23859,MAT-58634,Phantom Item,251858880,Active,Different support scene fall,Red,Yourself whether matter woman end,2025-04-08,2025-01-23,Size,No,3116.93,2026-03-07,2024-08-02,Somebody,648655170,477316020,Ancillary Supply,MAT-58634,2026-04-15,Yes,AP03,Let,Avoid,816305923,MAT-58634,CT-7047-GQC
237456894,Receive pick deep trip dream,BATCH-962258,BOM-47975,MAT-18097,Phantom Item,429570409,Active,Artist behavior reality others cause,Direction,Growth ground institution,2024-09-08,2025-02-14,Throw,No,4925.95,2024-11-01,2024-11-05,Development,895166247,951521941,Ancillary Supply,MAT-58634,2026-07-24,Yes,EU02,Attack,Decade,107011973,MAT-18097,CT-7047-GQC
860257868,Door nor remain will,BATCH-743545,BOM-75021,MAT-92337,Stock Item,876194782,Active,Similar feel campaign,Without,Kind field,2024-11-08,2024-10-04,Wrong,No,1787.98,2026-01-19,2024-08-20,Have,879431482,851137698,Ancillary Supply,MAT-58634,2025-09-08,No,AP03,Fact,Thousand,193755727,MAT-92337,CT-7047-GQC
795334372,Strong notice,BATCH-949523,BOM-75552,MAT-58634,Phantom Item,981803790,Active,Human miss particularly military,Third,Wife seven account,2025-05-03,2025-09-12,While,No,1494.97,2025-09-13,2025-03-21,Take,571653659,911800030,Investigational Product,MAT-18097,2025-03-12,Yes,LAT04,Finish,State,494816019,MAT-58634,CT-7047-GQC
683664487,Beyond reveal claim ok,BATCH-130898,BOM-20123,MAT-18097,Phantom Item,150392945,Active,Run education glass center,Turn,Fill day nature thought,2026-03-06,2024-01-19,Theory,Yes,4286.79,2024-11-11,2024-09-11,Manager,444050698,214514832,Investigational Product,MAT-18097,2024-02-20,No,EU02,Girl,Few,564730093,MAT-18097,CT-7047-GQC
965186313,Become think threat,BATCH-716893,BOM-12679,MAT-92337,Phantom Item,582760617,Active,During seven,Indeed,Down tree apply majority impact,2026-01-16,2025-04-04,Our,Yes,444.3,2025-07-06,2025-08-07,Fire,262167320,282919227,Investigational Product,MAT-18097,2026-03-13,No,LAT04,Represent,Painting,777254995,MAT-92337,CT-7047-GQC
668825098,Push relationship drug,BATCH-563602,BOM-85047,MAT-58634,Stock Item,343612051,Obsolete,Whatever education movie bad,Cost,Himself region name,2024-11-26,2024-08-14,Physical,No,3561.56,2026-04-16,2026-03-21,Imagine,328243493,736540297,Investigational Product,MAT-92337,2026-02-09,No,EU02,There,Environmental,781003105,MAT-58634,CT-7047-GQC
501216691,Cost soldier,BATCH-997979,BOM-83540,MAT-18097,Phantom Item,859305536,Active,Everyone bed them likely,Somebody,Once media marriage,2023-12-21,2024-04-02,Opportunity,Yes,3038.38,2024-11-11,2026-04-24,Answer,169071266,481738211,Investigational Product,MAT-92337,2026-01-19,Yes,EU02,Arm,Machine,332038762,MAT-18097,CT-7047-GQC
977804408,Fly focus reveal include service,BATCH-461353,BOM-24840,MAT-92337,Stock Item,249687666,Obsolete,Interview student both real staff,Article,Despite day food candidate north,2024-02-15,2024-05-04,Expert,No,2995.89,2025-07-13,2024-11-18,Structure,348391101,338018161,Investigational Product,MAT-92337,2024-01-08,Yes,AP03,Strategy,Court,356178930,MAT-92337,CT-7047-GQC
614494427,Resource impact,BATCH-607888,BOM-41818,MAT-37872,Phantom Item,695709290,Active,Individual sound debate,Wide,Those career,2026-07-04,2025-06-18,Visit,No,3512.64,2026-04-06,2024-11-13,Market,792745943,911532802,Comparator,MAT-37872,2025-07-13,No,LAT04,Poor,Choice,735101816,MAT-37872,CT-1816-RCG
514158590,Field man huge do college,BATCH-481551,BOM-66209,MAT-55297,Stock Item,973235029,Obsolete,Attorney owner,Change,And evidence degree value,2024-10-02,2024-02-08,Heart,Yes,3544.1,2024-05-11,2024-08-09,Discover,149781244,882381058,Comparator,MAT-37872,2023-12-11,Yes,US01,Money,Likely,969212105,MAT-55297,CT-1816-RCG
311620285,Case manage,BATCH-498290,BOM-12236,MAT-37872,Phantom Item,911583826,Obsolete,Mother middle mother ahead I,Off,Lawyer way interest brother,2026-09-21,2024-04-30,Agreement,Yes,4243.83,2026-06-24,2025-01-26,Catch,611596746,869683272,Comparator,MAT-55297,2024-10-07,Yes,LAT04,Defense,Represent,395202630,MAT-37872,CT-1816-RCG
689434685,Control marriage,BATCH-798632,BOM-24228,MAT-55297,Stock Item,888524844,Obsolete,Unit place,Direction,Difference beyond investment official,2026-01-30,2025-03-26,Member,Yes,4770.99,2025-06-28,2024-07-12,Eat,387095435,579254915,Comparator,MAT-55297,2024-07-24,Yes,LAT04,Million,Anything,755473562,MAT-55297,CT-1816-RCG
362856875,Power enjoy,BATCH-886009,BOM-76829,MAT-14039,Phantom Item,737140076,Active,Source thought sea,Movie,Including series budget,2025-03-20,2025-03-09,Name,No,2579.33,2026-06-24,2026-07-15,In,870114194,728350463,Investigational Product,MAT-14039,2026-04-07,Yes,US01,Language,Five,505390736,MAT-14039,CT-6109-EDZ
795211035,Structure popular project,BATCH-287541,BOM-99975,MAT-86168,Phantom Item,717529832,Obsolete,You sister offer,Reveal,Billion organization page bad,2023-12-08,2024-03-20,Knowledge,No,3251.97,2025-11-07,2026-04-13,Line,493844378,371639629,Investigational Product,MAT-14039,2026-02-10,Yes,AP03,Bed,Guess,512201603,MAT-86168,CT-6109-EDZ
295929053,Religious until,BATCH-240506,BOM-66907,MAT-14039,Phantom Item,177407030,Obsolete,Next during ask course,She,Near to let actually,2024-05-17,2024-03-03,Budget,No,4274.42,2024-02-04,2024-11-19,Bring,256440587,451433644,Investigational Product,MAT-86168,2024-02-15,Yes,AP03,Statement,Me,216558562,MAT-14039,CT-6109-EDZ
843386998,Against really again audience,BATCH-597992,BOM-19103,MAT-86168,Phantom Item,169307241,Obsolete,Win baby,List,Like very company stop,2025-11-13,2025-06-21,Feeling,No,4152.01,2025-02-24,2025-07-15,Station,255431547,704104248,Investigational Product,MAT-86168,2026-03-16,No,US01,Page,Couple,242080130,MAT-86168,CT-6109-EDZ
240314845,Record nothing about piece,BATCH-320709,BOM-30307,MAT-16627,Stock Item,573700658,Obsolete,Term model eye southern my,Art,Sometimes fine foot,2025-07-24,2025-03-22,There,Yes,2794.18,2025-04-21,2026-06-11,Ok,758162859,292315581,Investigational Product,MAT-16627,2026-09-10,Yes,LAT04,Occur,American,234835378,MAT-16627,CT-9831-IEW
965808825,Husband probably Mrs run,BATCH-420146,BOM-80537,MAT-33775,Stock Item,152067017,Obsolete,Heart itself,Take,Success similar,2024-07-13,2023-12-26,Subject,Yes,3267.21,2026-01-11,2025-10-17,Street,673443602,890088161,Investigational Product,MAT-16627,2024-02-01,Yes,LAT04,Among,Join,633766067,MAT-33775,CT-9831-IEW
895456703,True strategy,BATCH-805111,BOM-86817,MAT-16078,Phantom Item,210284868,Obsolete,Similar national fast realize more,Left,Policy language assume,2025-05-31,2024-08-10,Large,Yes,3397.77,2026-03-04,2024-12-26,Check,414262935,158141091,Investigational Product,MAT-16627,2025-11-10,No,EU02,Prove,Light,887810624,MAT-16078,CT-9831-IEW
956108219,Writer ground,BATCH-650344,BOM-72760,MAT-49651,Stock Item,445218322,Active,Appear back paper lead,Individual,During teacher prevent expert,2024-11-15,2024-04-17,Politics,No,1232.06,2026-10-13,2024-07-21,Short,617769921,900368759,Investigational Product,MAT-16627,2026-06-20,Yes,LAT04,Scientist,Surface,141636529,MAT-49651,CT-9831-IEW
779402182,Dream seat enter back,BATCH-526642,BOM-87868,MAT-16627,Phantom Item,229664377,Obsolete,Reveal stop skill set,Establish,Happy hour loss sense,2024-12-06,2024-10-09,What,No,4949.81,2024-07-18,2026-07-21,Case,833745868,832235796,Ancillary Supply,MAT-33775,2025-06-06,Yes,EU02,They,Today,427180930,MAT-16627,CT-9831-IEW
728867284,Bag boy send,BATCH-263479,BOM-19378,MAT-33775,Stock Item,566912941,Active,Large girl over art one,Return,Adult shake three full wind,2026-07-13,2024-06-29,Work,No,1518.52,2023-12-28,2026-11-08,Bar,251268504,155621439,Ancillary Supply,MAT-33775,2026-07-27,Yes,LAT04,Popular,Meeting,787596993,MAT-33775,CT-9831-IEW
858584060,Appear her time,BATCH-746981,BOM-19183,MAT-16078,Stock Item,817428818,Obsolete,Some degree,Body,Break detail indicate structure huge,2024-08-20,2024-05-18,Strategy,No,3074.1,2024-08-31,2025-01-23,Law,551537097,640489294,Ancillary Supply,MAT-33775,2026-10-02,Yes,US01,Game,Medical,655788353,MAT-16078,CT-9831-IEW
419552009,Again similar,BATCH-215897,BOM-86616,MAT-49651,Stock Item,194334863,Obsolete,Allow there the bill,Apply,Respond her like,2023-12-12,2024-10-23,Big,No,672.23,2026-06-18,2025-03-16,It,930880330,941411210,Ancillary Supply,MAT-33775,2025-02-14,Yes,LAT04,Model,Learn,533692140,MAT-49651,CT-9831-IEW
379090898,Stock hold that mouth,BATCH-987524,BOM-20033,MAT-16627,Stock Item,210753799,Active,Behavior out produce rule,Force,Newspaper could well,2025-04-09,2024-08-09,Official,Yes,2952.85,2024-08-08,2025-08-29,Week,661939039,896323751,Comparator,MAT-16078,2024-06-08,Yes,LAT04,Various,Career,112653032,MAT-16627,CT-9831-IEW
568746526,Week perform clearly,BATCH-903210,BOM-21092,MAT-33775,Stock Item,931032772,Obsolete,Staff rather enough,Wish,Imagine artist modern just condition,2024-06-08,2024-04-13,Social,Yes,1909.62,2024-11-16,2024-08-13,Chance,652195139,598657792,Comparator,MAT-16078,2024-08-12,No,AP03,Plan,Back,762679214,MAT-33775,CT-9831-IEW
851329812,Woman rich whatever,BATCH-879567,BOM-19498,MAT-16078,Phantom Item,264853735,Active,Record state seven father well,Scene,Age food process,2025-10-16,2024-05-24,Culture,No,2587.74,2026-08-31,2024-11-14,Local,273684853,514874478,Comparator,MAT-16078,2024-10-13,No,EU02,Four,Success,930591873,MAT-16078,CT-9831-IEW
409926289,Sister talk expect second,BATCH-222547,BOM-59073,MAT-49651,Stock Item,357319632,Obsolete,Score man,Work,Suffer with although,2024-10-16,2024-07-10,Shoulder,No,4778.34,2024-03-29,2026-06-17,Face,938621969,402889022,Comparator,MAT-16078,2025-01-25,No,EU02,Two,Model,363878317,MAT-49651,CT-9831-IEW
807686688,Others state surface,BATCH-672091,BOM-20492,MAT-16627,Stock Item,679748927,Active,In color especially institution,Task,A only option,2026-03-09,2025-05-30,Water,No,724.58,2024-04-13,2025-02-12,Party,898920912,305490318,Investigational Product,MAT-49651,2025-07-22,No,AP03,Seek,Around,496914595,MAT-16627,CT-9831-IEW
812054807,Realize follow,BATCH-120269,BOM-75437,MAT-33775,Stock Item,385771904,Active,Nearly vote past strong,Open,Talk light nature middle agreement,2024-04-14,2024-03-22,Heart,No,4974.95,2024-01-27,2024-09-18,Choice,628485694,203076363,Investigational Product,MAT-49651,2024-01-15,No,US01,Teacher,Huge,420618738,MAT-33775,CT-9831-IEW
249103934,Easy black under,BATCH-296279,BOM-64750,MAT-16078,Stock Item,712708770,Active,Blood green rest threat former,Power,Argue mind nor blood,2025-04-01,2025-04-11,Act,No,2139.67,2024-05-17,2026-07-14,Realize,279009174,686694520,Investigational Product,MAT-49651,2026-04-15,Yes,AP03,He,Prove,495403719,MAT-16078,CT-9831-IEW
957913835,Inside imagine strategy check visit,BATCH-181750,BOM-54329,MAT-49651,Phantom Item,707146906,Active,Respond official,To,View race say,2026-10-17,2024-09-21,Similar,Yes,186.64,2024-04-01,2024-06-01,Attack,217465306,460157412,Investigational Product,MAT-49651,2024-07-27,Yes,US01,Evening,Role,296448450,MAT-49651,CT-9831-IEW
815039637,Remain tree simply,BATCH-809380,BOM-47659,MAT-34899,Stock Item,847984352,Obsolete,Network western activity fact,Three,Night performance,2024-12-02,2025-07-23,Commercial,Yes,2809.9,2024-12-01,2025-12-20,Character,762751492,660686132,Investigational Product,MAT-34899,2024-03-24,Yes,AP03,Draw,Up,105413164,MAT-34899,CT-3395-UCM
458080916,News win institution follow,BATCH-665195,BOM-23895,MAT-40706,Stock Item,108378728,Active,Turn around side,His,Rise process,2025-08-06,2024-09-11,Education,Yes,375.75,2025-11-06,2023-12-24,Table,264087126,976413261,Investigational Product,MAT-34899,2024-08-13,Yes,US01,Pressure,Stage,621253703,MAT-40706,CT-3395-UCM
799007812,Enjoy situation news three,BATCH-646498,BOM-40122,MAT-82814,Stock Item,509704147,Obsolete,Me head economy happy,Force,Defense member must,2025-12-05,2025-11-01,Protect,No,1363.34,2025-02-14,2026-03-03,Training,554933611,904574493,Investigational Product,MAT-34899,2025-08-24,Yes,US01,Court,Never,466143139,MAT-82814,CT-3395-UCM
258006935,Pick these war last like,BATCH-441779,BOM-50497,MAT-34899,Stock Item,564784184,Active,Follow bill,Win,Stay right,2024-07-26,2024-10-01,Break,No,2927.79,2024-08-24,2024-01-01,Rise,566757833,574329179,Investigational Product,MAT-40706,2026-07-10,Yes,AP03,Quickly,Section,785899466,MAT-34899,CT-3395-UCM
235593619,Be former specific early,BATCH-589651,BOM-27371,MAT-40706,Phantom Item,969030901,Active,Simply support one want,Traditional,Teach beautiful smile together consider,2026-01-28,2025-06-05,Mean,No,2611.83,2026-01-27,2024-06-30,Score,797353119,177143493,Investigational Product,MAT-40706,2025-02-09,Yes,US01,Style,Myself,820676472,MAT-40706,CT-3395-UCM
549951215,Responsibility stand sing six,BATCH-447822,BOM-48251,MAT-82814,Stock Item,190473525,Obsolete,Rich program,Yeah,Report court carry rise,2026-04-27,2025-02-13,Including,No,2609.78,2024-05-05,2026-09-20,Pattern,931073438,781053867,Investigational Product,MAT-40706,2026-02-26,Yes,AP03,Specific,Serve,323562814,MAT-82814,CT-3395-UCM
395420055,Safe expert usually role between,BATCH-900529,BOM-65992,MAT-34899,Phantom Item,118298302,Obsolete,Someone score that effort,Choice,Service pressure professional political,2025-01-24,2024-06-26,Resource,No,1829.1,2025-10-29,2026-05-13,Until,653927651,261001122,Investigational Product,MAT-82814,2024-09-20,Yes,EU02,Town,Take,851767546,MAT-34899,CT-3395-UCM
290351719,To save need,BATCH-101182,BOM-18574,MAT-40706,Stock Item,314861239,Active,Investment huge degree computer,Campaign,That every person worker note,2024-04-22,2025-05-30,Strategy,Yes,1823.47,2024-10-31,2024-07-17,Couple,218564082,771610736,Investigational Product,MAT-82814,2026-07-23,No,EU02,Form,Could,978579392,MAT-40706,CT-3395-UCM
584095477,Find support close but blue,BATCH-772762,BOM-49095,MAT-82814,Stock Item,907596561,Active,Identify put almost strategy,Or,Leader well,2025-02-08,2024-01-20,Fly,Yes,1961.94,2025-04-27,2026-01-22,Least,641060560,471591290,Investigational Product,MAT-82814,2026-07-14,Yes,EU02,Suddenly,Bit,276818068,MAT-82814,CT-3395-UCM
659150357,Even allow travel difficult civil,BATCH-350977,BOM-84880,MAT-40089,Phantom Item,728674638,Obsolete,Area use,Teach,Artist their degree,2024-06-13,2024-05-10,Here,Yes,4149.79,2026-03-04,2024-04-08,Contain,372040293,748987717,Investigational Product,MAT-40089,2025-09-07,No,AP03,Wide,Civil,362402331,MAT-40089,CT-4229-AWU
420960913,North hundred at difficult,BATCH-170990,BOM-13651,MAT-47986,Phantom Item,666167037,Active,Participant yes training land or,Hold,Team ground hour important help,2025-05-08,2025-03-03,Development,No,4702.31,2023-12-28,2025-12-21,Southern,572888871,330953761,Investigational Product,MAT-40089,2023-12-23,Yes,US01,Second,Customer,666935950,MAT-47986,CT-4229-AWU
303785190,Sometimes occur,BATCH-304985,BOM-24448,MAT-30745,Phantom Item,357208419,Active,Four information center,Matter,Machine economic treatment stock,2026-09-20,2025-03-02,Guess,No,3905.26,2026-09-10,2026-07-05,Left,142741001,681518562,Investigational Product,MAT-40089,2026-06-24,No,LAT04,Not,News,627288516,MAT-30745,CT-4229-AWU
