Trial Name,Location,Investigator,Package Type Description,Lot,Expiry Date,Packages Awaiting,Received Packages,Packages Pending FFU,Packages Pending Shipment,Shipped Packages,Min Qty,Max Qty,Initial Qty
City Program,Portugal,Michael Parker,Run Solution,LOT-49441641,2026-07-19,0,1,3,4,5,10,51,23
City Program,Belgium,Michael Parker,Run Solution,LOT-49441641,2026-07-19,3,4,2,4,3,18,59,77
Majority Trial,Malaysia,Ruben Moore,Continue Capsule,LOT-10817867,2025-11-17,2,8,3,4,3,20,85,21
Majority Trial,Guadeloupe,Ruben Moore,Continue Capsule,LOT-10817867,2025-11-17,5,3,0,0,6,20,102,78
None Trial,Holy See (Vatican City State),Dr. Joseph Maldonado,Positive Injection,LOT-27880910,2026-11-19,2,6,2,1,6,16,109,33
None Trial,Belgium,Dr. Joseph Maldonado,Positive Injection,LOT-27880910,2026-11-19,5,7,0,1,6,17,57,58
None Trial,Kazakhstan,Dr. Joseph Maldonado,Positive Injection,LOT-27880910,2026-11-19,4,4,0,4,0,16,101,59
None Trial,Finland,Dr. Joseph Maldonado,Positive Injection,LOT-27880910,2026-11-19,1,7,3,1,6,20,75,68
Miss Trial,Sao Tome and Principe,Ralph Cabrera,Expect Tablet,LOT-46656333,2026-12-03,1,9,3,3,4,10,73,58
Reality Program,Indonesia,Joanne Taylor,Type Injection,LOT-51166600,2028-06-14,5,1,3,2,5,18,111,20
Compare Study,Tokelau,Lisa Mcdonald,Side Capsule,LOT-99482219,2027-01-22,2,7,3,0,0,20,90,28
Compare Study,Malaysia,Lisa Mcdonald,Side Capsule,LOT-99482219,2027-01-22,0,10,2,1,6,12,56,25
Compare Study,Taiwan,Lisa Mcdonald,Side Capsule,LOT-99482219,2027-01-22,3,6,0,2,6,13,72,80
Compare Study,Guadeloupe,Lisa Mcdonald,Side Capsule,LOT-99482219,2027-01-22,0,5,1,2,4,14,106,50
City Program,Saint Kitts and Nevis,Stacy Murray,Run Solution,LOT-31019227,2026-06-17,5,5,1,0,4,16,94,42
City Program,Malaysia,Stacy Murray,Run Solution,LOT-31019227,2026-06-17,0,4,3,2,1,20,62,65
City Program,Cote d'Ivoire,Stacy Murray,Run Solution,LOT-31019227,2026-06-17,4,8,3,2,4,15,115,31
Past Trial,Zambia,Lisa Herman,Simply Injection,LOT-23670572,2026-05-20,2,10,1,0,0,18,68,55
Past Trial,Korea,Lisa Herman,Simply Injection,LOT-23670572,2026-05-20,5,6,2,0,1,12,82,34
Past Trial,Mali,Lisa Herman,Simply Injection,LOT-23670572,2026-05-20,0,5,3,0,4,20,90,72
Put Trial,American Samoa,Rodney Ortiz,Speech Patch,LOT-14377768,2027-01-10,4,10,1,1,3,11,91,76
Put Trial,Guam,Rodney Ortiz,Speech Patch,LOT-14377768,2027-01-10,3,3,2,1,0,17,101,33
Put Trial,Bahamas,Rodney Ortiz,Speech Patch,LOT-14377768,2027-01-10,2,4,3,4,1,10,102,69
Put Trial,Mongolia,Rodney Ortiz,Speech Patch,LOT-14377768,2027-01-10,4,5,1,1,2,11,68,47
Front Study,British Virgin Islands,Willie Moore,Experience Tablet,LOT-12068529,2025-11-10,1,5,1,2,5,12,97,57
Front Study,Bhutan,Willie Moore,Experience Tablet,LOT-12068529,2025-11-10,2,2,1,3,0,19,94,56
Front Study,Bahamas,Willie Moore,Experience Tablet,LOT-12068529,2025-11-10,4,2,3,3,6,16,59,56
And Study,Sao Tome and Principe,Dakota Cook,Effort Capsule,LOT-60968631,2026-10-17,0,6,3,3,3,14,96,54
And Study,Togo,Dakota Cook,Effort Capsule,LOT-60968631,2026-10-17,2,1,2,3,5,11,89,64
And Study,Lesotho,Dakota Cook,Effort Capsule,LOT-60968631,2026-10-17,3,3,2,0,5,14,62,68
And Study,Bahamas,Dakota Cook,Effort Capsule,LOT-60968631,2026-10-17,3,7,3,1,6,12,60,53
Both Program,Qatar,Samuel Reeves,Tree Injection,LOT-73483649,2026-06-15,2,6,1,1,3,11,93,54
Both Program,United States of America,Samuel Reeves,Tree Injection,LOT-73483649,2026-06-15,0,9,2,1,5,18,65,29
Both Program,Portugal,Samuel Reeves,Tree Injection,LOT-73483649,2026-06-15,3,10,3,4,2,19,62,51
Wear Program,Lesotho,Meagan Johnson,Though Solution,LOT-47865891,2028-02-08,2,4,2,1,4,16,52,64
Wear Program,United States of America,Meagan Johnson,Though Solution,LOT-47865891,2028-02-08,5,10,1,0,6,11,63,62
Wear Program,Qatar,Meagan Johnson,Though Solution,LOT-47865891,2028-02-08,2,10,3,2,2,12,87,76
Miss Trial,Guam,Jerry Drake,Property Tablet,LOT-65372587,2025-02-09,1,1,1,0,3,16,108,48
None Trial,Kiribati,Dale Warren,Trouble Capsule,LOT-91403277,2025-11-01,0,4,1,1,1,13,113,34
Recent Trial,Tokelau,Heather Lewis,Issue Patch,LOT-31152831,2025-09-07,5,1,0,1,1,16,81,53
Talk Trial,Argentina,Laura Sanders,Treat Tablet,LOT-46366370,2025-11-01,0,6,0,0,6,10,110,46
Talk Trial,Palau,Laura Sanders,Treat Tablet,LOT-46366370,2025-11-01,4,3,3,4,2,14,104,24
Season Trial,Bahamas,Alexander Cook,Impact Patch,LOT-73100049,2026-06-22,1,4,1,3,6,19,54,63
Season Trial,Swaziland,Alexander Cook,Impact Patch,LOT-73100049,2026-06-22,4,2,0,0,6,19,68,63
Season Trial,Cote d'Ivoire,Alexander Cook,Impact Patch,LOT-73100049,2026-06-22,0,10,3,3,3,15,97,64
Season Trial,Kazakhstan,Alexander Cook,Impact Patch,LOT-73100049,2026-06-22,1,10,0,3,1,12,71,75
Put Trial,Holy See (Vatican City State),Rodney Ortiz,Culture Solution,LOT-36766763,2026-01-11,2,2,0,0,0,14,82,22
Put Trial,Malaysia,Rodney Ortiz,Culture Solution,LOT-36766763,2026-01-11,4,3,0,4,3,10,114,74
Put Trial,Albania,Rodney Ortiz,Culture Solution,LOT-36766763,2026-01-11,0,1,3,2,2,18,79,22
Myself Program,British Virgin Islands,Darius Smith,High Injection,LOT-70273170,2025-03-21,3,2,3,2,1,18,86,64
Myself Program,Bhutan,Darius Smith,High Injection,LOT-70273170,2025-03-21,5,10,2,3,1,11,96,39
Majority Trial,Comoros,Kenneth Thomas,Reduce Solution,LOT-52789053,2026-04-29,1,1,0,3,1,19,56,32
Majority Trial,Bhutan,Kenneth Thomas,Reduce Solution,LOT-52789053,2026-04-29,5,5,1,1,0,17,50,33
Majority Trial,Malawi,Kenneth Thomas,Reduce Solution,LOT-52789053,2026-04-29,3,9,2,0,4,13,110,60
And Study,Nepal,Luke Shelton,New Solution,LOT-19895402,2026-05-19,0,5,0,4,1,10,93,46
And Study,Saudi Arabia,Luke Shelton,New Solution,LOT-19895402,2026-05-19,1,9,2,0,3,20,58,31
And Study,Indonesia,Luke Shelton,New Solution,LOT-19895402,2026-05-19,2,8,2,3,2,16,114,67
And Study,Holy See (Vatican City State),Luke Shelton,New Solution,LOT-19895402,2026-05-19,1,8,3,4,1,19,78,32
And Study,Guam,Michael Anderson,Effort Capsule,LOT-60968631,2026-10-17,5,8,1,2,4,18,67,61
And Study,Malawi,Michael Anderson,Effort Capsule,LOT-60968631,2026-10-17,2,4,0,1,6,18,59,68
Member Trial,Kiribati,Andrea Ross,Hundred Solution,LOT-26012891,2026-02-19,4,3,0,2,1,17,88,43
Miss Trial,Kiribati,Kimberly Bowman,Expect Tablet,LOT-44491067,2028-06-07,4,10,3,3,2,11,96,72
Miss Trial,Malawi,Kimberly Bowman,Expect Tablet,LOT-44491067,2028-06-07,5,2,0,4,2,14,75,43
Member Trial,Guadeloupe,Nathan Fitzgerald,Hundred Solution,LOT-16159838,2025-09-01,5,2,0,1,4,16,51,71
Member Trial,Swaziland,Nathan Fitzgerald,Hundred Solution,LOT-16159838,2025-09-01,3,5,3,4,1,12,56,58
Job Trial,Argentina,Jacob Sullivan,Us Solution,LOT-16473868,2027-01-28,2,1,3,2,5,16,73,36
Job Trial,Swaziland,Jacob Sullivan,Us Solution,LOT-16473868,2027-01-28,3,5,1,4,1,13,96,29
Job Trial,Indonesia,Jacob Sullivan,Us Solution,LOT-16473868,2027-01-28,4,5,1,4,6,18,81,74
Job Trial,Papua New Guinea,Jacob Sullivan,Us Solution,LOT-16473868,2027-01-28,0,2,3,0,1,17,66,24
Past Trial,Zambia,Brandy Poole,Memory Solution,LOT-21570201,2026-12-22,4,9,0,3,2,12,111,77
Past Trial,British Virgin Islands,Brandy Poole,Memory Solution,LOT-21570201,2026-12-22,3,8,2,1,1,15,55,22
Attorney Study,Belgium,Katherine Reid,They Capsule,LOT-29384973,2027-05-26,3,7,1,0,2,10,52,58
Attorney Study,Comoros,Katherine Reid,They Capsule,LOT-29384973,2027-05-26,1,9,0,3,6,15,117,28
Miss Trial,Canada,Rachel Orr,Property Tablet,LOT-48273549,2025-03-04,1,5,3,0,0,20,94,55
Miss Trial,Saudi Arabia,Rachel Orr,Property Tablet,LOT-48273549,2025-03-04,4,1,2,2,2,17,84,68
Miss Trial,Papua New Guinea,Rachel Orr,Property Tablet,LOT-48273549,2025-03-04,0,8,1,3,1,18,91,80
Talk Trial,Swaziland,Alicia Callahan,Treat Tablet,LOT-28229614,2026-12-14,0,6,2,3,5,19,65,58
Talk Trial,Kazakhstan,Alicia Callahan,Treat Tablet,LOT-28229614,2026-12-14,2,5,1,4,5,19,89,51
Talk Trial,Italy,Alicia Callahan,Treat Tablet,LOT-28229614,2026-12-14,2,7,0,0,0,17,95,69
Talk Trial,Argentina,Alicia Callahan,Treat Tablet,LOT-28229614,2026-12-14,0,7,3,2,1,17,79,55
Home Trial,Saint Kitts and Nevis,Megan Hicks,Offer Tablet,LOT-39555641,2027-05-20,1,3,1,4,0,12,73,43
Home Trial,Finland,Megan Hicks,Offer Tablet,LOT-39555641,2027-05-20,5,7,1,4,4,20,110,52
Home Trial,Argentina,Megan Hicks,Offer Tablet,LOT-39555641,2027-05-20,3,6,1,2,4,19,101,31
Home Trial,Swaziland,Megan Hicks,Offer Tablet,LOT-39555641,2027-05-20,4,9,3,4,1,19,65,38
Attorney Study,Czech Republic,Thomas Adams,They Capsule,LOT-29384973,2027-05-26,5,7,0,0,1,16,116,34
Attorney Study,Finland,Thomas Adams,They Capsule,LOT-29384973,2027-05-26,5,4,3,2,3,19,71,45
Attorney Study,Greece,Thomas Adams,They Capsule,LOT-29384973,2027-05-26,1,4,3,4,2,14,111,37
Attorney Study,Austria,Thomas Adams,They Capsule,LOT-29384973,2027-05-26,3,7,2,4,0,12,95,22
Skin Trial,Italy,Renee Escobar,Range Solution,LOT-74101873,2025-10-17,3,9,0,4,4,11,50,66
Skin Trial,Albania,Renee Escobar,Range Solution,LOT-74101873,2025-10-17,5,2,0,1,6,18,118,71
Skin Trial,Kiribati,Renee Escobar,Range Solution,LOT-74101873,2025-10-17,0,2,2,1,4,18,112,38
Front Study,Bahamas,David Atkinson,Indicate Patch,LOT-81143076,2027-03-08,5,1,3,1,0,10,86,75
Attorney Study,Comoros,Mr. Bryan Guerra,Fund Tablet,LOT-27607761,2026-08-18,4,10,2,2,1,12,60,65
Recent Trial,Cote d'Ivoire,Sean Ayala,Reason Tablet,LOT-75893896,2025-12-12,0,4,3,2,6,16,72,59
Both Program,Albania,Kelly Nguyen,Commercial Tablet,LOT-24674076,2025-05-05,1,8,1,2,2,15,105,74
Both Program,Argentina,Kelly Nguyen,Commercial Tablet,LOT-24674076,2025-05-05,1,4,1,3,4,13,103,28
Both Program,Lesotho,Kelly Nguyen,Commercial Tablet,LOT-24674076,2025-05-05,3,1,0,1,6,20,53,59
Compare Study,Turkmenistan,Melanie Carter,Article Tablet,LOT-94846184,2026-06-19,0,7,3,2,6,17,78,29
Compare Study,Comoros,Melanie Carter,Article Tablet,LOT-94846184,2026-06-19,5,1,2,2,0,17,65,76
Compare Study,Taiwan,Melanie Carter,Article Tablet,LOT-94846184,2026-06-19,1,5,1,1,0,11,84,78
Compare Study,Guadeloupe,Melanie Carter,Article Tablet,LOT-94846184,2026-06-19,3,1,1,4,3,16,59,78
Job Trial,Kiribati,Samantha Spence,Player Solution,LOT-29648706,2026-06-22,4,10,3,2,6,17,86,57
Job Trial,Saudi Arabia,Samantha Spence,Player Solution,LOT-29648706,2026-06-22,1,7,0,0,0,12,96,73
Front Study,Czech Republic,Willie Moore,Pull Patch,LOT-66136964,2026-11-16,2,10,1,3,2,11,57,63
Compare Study,Togo,Lisa Mcdonald,Happy Solution,LOT-61778837,2025-11-20,0,2,2,0,0,11,89,54
Compare Study,Saint Kitts and Nevis,Lisa Mcdonald,Happy Solution,LOT-61778837,2025-11-20,2,9,2,2,0,18,61,73
Compare Study,Holy See (Vatican City State),Lisa Mcdonald,Happy Solution,LOT-61778837,2025-11-20,0,4,1,0,2,12,62,37
And Study,Mali,Dakota Cook,New Solution,LOT-36343625,2025-10-11,2,9,1,4,6,12,66,37
And Study,Kenya,Dakota Cook,New Solution,LOT-36343625,2025-10-11,4,8,3,2,4,10,113,72
And Study,Swaziland,Luke Shelton,Effort Capsule,LOT-60968631,2026-10-17,2,2,0,3,6,16,88,38
And Study,Afghanistan,Luke Shelton,Effort Capsule,LOT-60968631,2026-10-17,4,3,2,3,6,11,84,79
And Study,Czech Republic,Luke Shelton,Effort Capsule,LOT-60968631,2026-10-17,3,5,2,1,6,15,56,75
And Study,British Virgin Islands,Luke Shelton,Effort Capsule,LOT-60968631,2026-10-17,5,7,1,1,5,20,102,41
Compare Study,Guadeloupe,Melanie Carter,Blue Patch,LOT-48781281,2025-05-21,4,8,2,0,4,13,105,73
Compare Study,Gibraltar,Melanie Carter,Blue Patch,LOT-48781281,2025-05-21,1,9,1,2,3,19,96,79
And Study,Papua New Guinea,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,3,10,1,4,6,12,63,56
And Study,Zambia,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,4,7,2,1,1,14,67,20
And Study,Malawi,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,3,5,1,0,5,18,59,33
And Study,Russian Federation,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,0,5,2,3,5,17,92,77
And Study,Guadeloupe,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,4,10,2,0,6,10,93,57
And Study,Kenya,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,3,8,0,0,5,18,84,63
And Study,Guadeloupe,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,5,10,2,3,5,20,89,49
Improve Trial,British Virgin Islands,Daniel Nichols,Figure Capsule,LOT-91428756,2027-12-20,5,2,2,0,6,20,57,37
Improve Trial,Turkmenistan,Daniel Nichols,Figure Capsule,LOT-91428756,2027-12-20,2,4,0,4,1,16,75,58
Improve Trial,Austria,Daniel Nichols,Figure Capsule,LOT-91428756,2027-12-20,5,5,0,2,1,14,58,79
Improve Trial,Russian Federation,Daniel Nichols,Figure Capsule,LOT-91428756,2027-12-20,3,5,0,1,3,15,78,63
Pay Study,United States of America,Sherry Murphy,Myself Capsule,LOT-19994803,2027-03-23,4,7,0,0,2,12,118,58
Pay Study,Palau,Sherry Murphy,Myself Capsule,LOT-19994803,2027-03-23,0,5,3,2,3,11,59,70
Pay Study,Sao Tome and Principe,Sherry Murphy,Myself Capsule,LOT-19994803,2027-03-23,5,3,2,0,0,19,57,56
Pay Study,Bhutan,Sherry Murphy,Myself Capsule,LOT-19994803,2027-03-23,0,8,0,3,3,14,83,42
Majority Trial,Taiwan,Harry Walker,Reduce Solution,LOT-16679340,2027-01-15,4,3,1,0,3,12,79,43
None Trial,Swaziland,Deanna Miller,Positive Injection,LOT-37532398,2026-09-16,0,3,0,3,0,18,117,42
None Trial,Saint Kitts and Nevis,Deanna Miller,Positive Injection,LOT-37532398,2026-09-16,3,2,3,1,4,12,77,79
None Trial,Qatar,Deanna Miller,Positive Injection,LOT-37532398,2026-09-16,4,8,2,1,5,10,55,56
None Trial,Afghanistan,Deanna Miller,Positive Injection,LOT-37532398,2026-09-16,0,4,1,2,1,17,66,67
City Program,Mongolia,Anna Hudson,Run Solution,LOT-70811881,2026-09-05,5,7,3,3,6,14,99,23
And Study,Tokelau,Michael Anderson,New Solution,LOT-19895402,2026-05-19,1,9,1,0,4,19,103,20
And Study,Canada,Michael Anderson,New Solution,LOT-19895402,2026-05-19,0,1,0,1,2,16,66,78
And Study,Papua New Guinea,Michael Anderson,New Solution,LOT-19895402,2026-05-19,0,8,3,1,3,20,67,45
And Study,Afghanistan,Michael Anderson,New Solution,LOT-19895402,2026-05-19,3,2,1,0,1,11,86,63
Myself Program,Comoros,Hannah Thompson,Receive Patch,LOT-72460791,2026-08-09,0,10,0,3,4,11,99,72
Myself Program,United States of America,Hannah Thompson,Receive Patch,LOT-72460791,2026-08-09,4,8,3,1,0,12,90,44
Myself Program,Albania,Krista Barry,High Injection,LOT-46257312,2027-11-30,2,7,0,0,1,16,57,62
Myself Program,Papua New Guinea,Krista Barry,High Injection,LOT-46257312,2027-11-30,1,4,1,4,3,11,70,27
Myself Program,Italy,Krista Barry,High Injection,LOT-46257312,2027-11-30,2,1,0,3,5,13,63,29
Talk Trial,American Samoa,Daniel Patel,Free Solution,LOT-65730343,2026-08-19,2,9,1,0,2,12,87,72
Talk Trial,Papua New Guinea,Daniel Patel,Free Solution,LOT-65730343,2026-08-19,5,4,0,1,6,12,66,57
Reality Program,Saudi Arabia,Anna Ross,Type Injection,LOT-24028484,2026-03-16,5,3,1,0,1,15,103,55
Reality Program,Papua New Guinea,Anna Ross,Type Injection,LOT-24028484,2026-03-16,0,4,0,1,2,15,67,55
Reality Program,Qatar,Anna Ross,Type Injection,LOT-24028484,2026-03-16,3,4,2,2,3,19,82,25
Reality Program,Zambia,Anna Ross,Type Injection,LOT-24028484,2026-03-16,0,9,0,1,4,14,81,37
Myself Program,Korea,Kevin Freeman,Stock Patch,LOT-82476241,2025-06-26,1,10,0,1,6,15,62,61
Compare Study,Palestinian Territory,Jenny Hill,Blue Patch,LOT-45571743,2025-05-24,4,1,3,4,0,10,59,25
Compare Study,Kenya,Jenny Hill,Blue Patch,LOT-45571743,2025-05-24,5,7,0,3,6,19,59,60
Compare Study,Angola,Jenny Hill,Blue Patch,LOT-45571743,2025-05-24,1,8,2,4,5,15,117,21
Front Study,Belgium,Andrea Ford,Experience Tablet,LOT-12068529,2025-11-10,1,8,0,0,0,17,117,79
Improve Trial,Malaysia,Derrick Hebert,Set Solution,LOT-62532897,2027-05-10,5,10,3,0,2,11,64,55
Improve Trial,American Samoa,Derrick Hebert,Set Solution,LOT-62532897,2027-05-10,0,1,2,4,4,17,93,24
Improve Trial,Portugal,Derrick Hebert,Set Solution,LOT-62532897,2027-05-10,4,1,1,2,5,16,57,50
Improve Trial,Guam,Derrick Hebert,Set Solution,LOT-62532897,2027-05-10,0,7,0,2,3,11,59,70
Compare Study,Sao Tome and Principe,Jenny Hill,Article Tablet,LOT-94846184,2026-06-19,2,9,1,0,5,18,52,51
Home Trial,Kiribati,Kayla Gonzalez,Common Patch,LOT-51070012,2025-12-01,3,4,2,3,6,15,76,36
Home Trial,United States of America,Kayla Gonzalez,Common Patch,LOT-51070012,2025-12-01,3,3,0,4,3,20,109,58
Put Trial,Cote d'Ivoire,Jennifer Henry,Floor Patch,LOT-21437748,2026-06-27,0,5,2,0,4,13,67,22
Put Trial,Sao Tome and Principe,Jennifer Henry,Floor Patch,LOT-21437748,2026-06-27,5,7,0,0,6,16,57,46
Put Trial,Afghanistan,Jennifer Henry,Floor Patch,LOT-21437748,2026-06-27,1,3,2,3,5,17,72,58
Put Trial,Saudi Arabia,Jennifer Henry,Floor Patch,LOT-21437748,2026-06-27,3,5,2,3,6,11,70,52
Skin Trial,Bhutan,Kimberly Richards,Various Solution,LOT-14354504,2025-07-25,0,8,3,1,3,13,94,49
Skin Trial,Lesotho,Kimberly Richards,Various Solution,LOT-14354504,2025-07-25,4,1,2,3,0,12,85,70
Skin Trial,Kenya,Kimberly Richards,Various Solution,LOT-14354504,2025-07-25,4,1,2,3,5,14,102,74
Skin Trial,Mali,Kimberly Richards,Various Solution,LOT-14354504,2025-07-25,5,6,0,1,4,15,77,66
Myself Program,Canada,Scott Allen,Something Patch,LOT-26376337,2026-09-04,5,6,0,2,3,16,107,22
Myself Program,Czech Republic,Scott Allen,Something Patch,LOT-26376337,2026-09-04,3,8,1,2,3,20,111,39
Myself Program,Central African Republic,Scott Allen,Something Patch,LOT-26376337,2026-09-04,4,5,3,3,1,19,58,25
Both Program,Swaziland,Samuel Reeves,Commercial Tablet,LOT-60873216,2025-12-23,0,5,3,2,5,15,59,21
Past Trial,Cote d'Ivoire,Marvin Alexander,Simply Injection,LOT-92879466,2027-09-05,0,10,1,0,3,18,114,39
Past Trial,Korea,Marvin Alexander,Simply Injection,LOT-92879466,2027-09-05,0,8,0,4,2,15,81,22
Past Trial,Bhutan,Marvin Alexander,Simply Injection,LOT-92879466,2027-09-05,4,6,1,0,0,14,89,70
Talk Trial,Kiribati,Debbie Adams,Health Solution,LOT-10539218,2028-01-17,1,6,0,3,6,10,52,29
Majority Trial,Czech Republic,Harry Walker,Reduce Solution,LOT-62567327,2026-09-17,3,6,0,0,6,12,71,25
Majority Trial,Kiribati,Harry Walker,Reduce Solution,LOT-62567327,2026-09-17,2,3,2,0,2,12,65,22
Majority Trial,Portugal,Harry Walker,Reduce Solution,LOT-62567327,2026-09-17,5,5,2,4,0,16,78,60
Majority Trial,British Virgin Islands,Harry Walker,Reduce Solution,LOT-62567327,2026-09-17,5,5,3,1,1,12,86,27
Attorney Study,Argentina,Erica Mora,They Capsule,LOT-29384973,2027-05-26,0,5,3,3,6,10,95,50
Attorney Study,British Virgin Islands,Erica Mora,They Capsule,LOT-29384973,2027-05-26,4,10,0,1,2,11,58,46
Attorney Study,Lesotho,Erica Mora,They Capsule,LOT-29384973,2027-05-26,0,5,0,4,0,11,69,33
Improve Trial,Grenada,Andrew Garcia,Set Solution,LOT-62532897,2027-05-10,2,4,3,4,3,20,114,27
Improve Trial,Turkmenistan,Andrew Garcia,Set Solution,LOT-62532897,2027-05-10,4,8,0,0,0,12,61,73
Miss Trial,Papua New Guinea,Kyle Schmidt,Expect Tablet,LOT-46656333,2026-12-03,5,5,0,4,5,16,66,42
Recent Trial,Canada,Sherry Long,Reason Tablet,LOT-59884250,2026-03-21,0,8,0,2,4,10,108,46
Recent Trial,Malawi,Sherry Long,Reason Tablet,LOT-59884250,2026-03-21,4,2,2,3,6,15,67,27
Recent Trial,Korea,Sherry Long,Reason Tablet,LOT-59884250,2026-03-21,3,4,1,0,5,20,59,44
Recent Trial,Belgium,Sherry Long,Reason Tablet,LOT-59884250,2026-03-21,3,1,2,0,3,19,59,31
Miss Trial,Saint Kitts and Nevis,Kimberly Bowman,Expect Tablet,LOT-44491067,2028-06-07,5,5,1,4,1,18,57,50
Skin Trial,Bhutan,Kimberly Richards,Range Solution,LOT-84562329,2025-10-19,4,10,0,3,0,14,106,73
Skin Trial,Saudi Arabia,Kimberly Richards,Range Solution,LOT-84562329,2025-10-19,3,3,2,1,2,11,55,59
Skin Trial,Kazakhstan,Kimberly Richards,Range Solution,LOT-84562329,2025-10-19,1,8,1,0,2,11,74,31
Skin Trial,Guam,Samantha Jones,Various Solution,LOT-14354504,2025-07-25,5,9,0,4,2,18,87,40
Skin Trial,Saint Kitts and Nevis,Samantha Jones,Various Solution,LOT-14354504,2025-07-25,2,9,2,3,0,10,70,57
Camera Trial,Mali,Melissa Morris,Cell Tablet,LOT-20749320,2027-03-24,2,10,1,4,3,18,51,73
City Program,Turkmenistan,Dr. Melissa Donovan,Run Solution,LOT-70811881,2026-09-05,4,10,2,3,4,20,81,36
City Program,Sao Tome and Principe,Dr. Melissa Donovan,Run Solution,LOT-70811881,2026-09-05,3,4,3,1,1,14,58,28
City Program,Zambia,Dr. Melissa Donovan,Run Solution,LOT-70811881,2026-09-05,0,8,2,1,4,12,56,67
City Program,Canada,Dr. Melissa Donovan,Run Solution,LOT-70811881,2026-09-05,4,5,3,1,3,19,117,39
And Study,Saint Kitts and Nevis,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,2,1,2,3,6,13,113,75
And Study,Austria,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,3,6,1,0,4,20,85,43
And Study,Czech Republic,Michael Anderson,Effort Capsule,LOT-73297905,2027-10-04,3,1,3,2,4,17,58,30
Recent Trial,Guadeloupe,Heather Lewis,Contain Solution,LOT-90900846,2026-03-28,0,6,2,4,0,11,94,37
None Trial,Lesotho,Dale Warren,Compare Tablet,LOT-50305764,2025-11-05,1,5,0,0,4,15,63,24
None Trial,Kenya,Dale Warren,Compare Tablet,LOT-50305764,2025-11-05,0,4,2,3,4,19,62,49
Skin Trial,Belgium,Samantha Jones,Range Solution,LOT-74101873,2025-10-17,3,4,0,2,4,18,63,43
Member Trial,Togo,Deborah Edwards,Hundred Solution,LOT-26012891,2026-02-19,4,1,2,0,4,18,87,72
Member Trial,Nepal,Deborah Edwards,Hundred Solution,LOT-26012891,2026-02-19,2,2,0,0,4,18,79,74
Member Trial,Korea,Deborah Edwards,Hundred Solution,LOT-26012891,2026-02-19,0,3,1,3,2,14,89,56
Member Trial,American Samoa,Deborah Edwards,Hundred Solution,LOT-26012891,2026-02-19,2,1,0,4,0,14,113,42
Put Trial,Guadeloupe,Faith Hill,Floor Patch,LOT-89268420,2026-12-16,0,8,1,3,4,10,94,80
Improve Trial,Russian Federation,Crystal Evans,Shake Tablet,LOT-70504064,2027-01-09,1,5,2,0,6,20,86,65
Pay Study,Bhutan,Sherry Murphy,Able Patch,LOT-66123852,2028-07-06,3,8,2,4,6,19,94,48
Pay Study,Taiwan,Sherry Murphy,Able Patch,LOT-66123852,2028-07-06,0,5,1,4,6,16,65,64
Pay Study,Mali,Sherry Murphy,Able Patch,LOT-66123852,2028-07-06,3,6,3,4,0,10,84,64
Pay Study,Canada,Sherry Murphy,Able Patch,LOT-66123852,2028-07-06,3,8,2,1,3,13,71,46
Past Trial,Holy See (Vatican City State),Allen Mayer,Memory Solution,LOT-21570201,2026-12-22,5,3,3,1,4,10,113,55
Past Trial,Bhutan,Allen Mayer,Memory Solution,LOT-21570201,2026-12-22,3,7,1,1,2,10,84,26
None Trial,Swaziland,William Hernandez,Compare Tablet,LOT-72341875,2025-12-10,2,3,2,4,2,12,68,36
None Trial,Malawi,William Hernandez,Compare Tablet,LOT-72341875,2025-12-10,0,9,1,3,6,20,50,33
Skin Trial,Bahamas,Edward Watson,Artist Solution,LOT-91814441,2026-02-14,4,9,0,4,2,17,80,78
Recent Trial,Argentina,Dylan Brooks,Contain Solution,LOT-90900846,2026-03-28,5,7,0,3,2,11,84,31
And Study,Portugal,Dakota Cook,Effort Capsule,LOT-60968631,2026-10-17,4,10,0,3,6,15,113,20
And Study,Lesotho,Dakota Cook,Effort Capsule,LOT-60968631,2026-10-17,2,5,0,4,5,18,64,61
And Study,Canada,Dakota Cook,Effort Capsule,LOT-60968631,2026-10-17,2,4,0,1,0,14,67,53
Past Trial,Togo,Angela Greene,Memory Solution,LOT-49095565,2026-06-14,2,7,3,1,5,15,78,68
Put Trial,Kiribati,John Smith,Speech Patch,LOT-22463904,2025-09-22,3,7,1,0,5,11,112,55
Put Trial,Mali,John Smith,Speech Patch,LOT-22463904,2025-09-22,4,7,1,4,0,12,97,55
Put Trial,Belgium,John Smith,Speech Patch,LOT-22463904,2025-09-22,4,1,0,0,0,12,105,64
Put Trial,Papua New Guinea,John Smith,Speech Patch,LOT-22463904,2025-09-22,2,1,1,3,1,19,52,51
Majority Trial,Tokelau,Kenneth Thomas,Reduce Solution,LOT-52789053,2026-04-29,1,5,0,2,5,19,80,57
