Batch number,Batch Use,BW: Document Item Number,ID,Inspection Lot Number,Item Category in Purchasing Document,Item number of purchasing document,Level,Material,Order Category,Order item number,Order Number,Plant,Purchasing document number,Record type,Request Transaction Sequence Number,Sales Document,Sold-to Party,Type,Unit of Measure,Vendor Batch Number,Quantity,Material_ID,Plant_ID,Material_Type_ID,Trial Alias
LOT-41222298,Distribution,198097517,892477049,IL7069372,Mission,125418550,Site,MAT-92337,Where,57C036FF-7C4,092A544D-1B7,AP03,896148300,Transfer,721063697,SD974932,Lin Ltd,Standard,Drop,LOT-41222298,199,MAT-92337,AP03,Investigational Product,CT-7047-GQC
LOT-71110407,Production,533312172,106747838,IL3706524,Provide,134242166,Country,MAT-92337,Large,FF0D6EB9-415,D991D9F7-CFE,EU02,661406558,Production,429081301,SD218920,Nguyen-Duncan,Four,Old,LOT-71110407,327,MAT-92337,EU02,Investigational Product,CT-7047-GQC
LOT-60968631,Production,565804727,270542352,IL9617827,Thousand,415729300,Site,MAT-37872,Discover,7E8BFE7E-71C,ECA8CBD1-E04,EU02,686535748,Transfer,167736518,SD562032,Perkins PLC,Tv,Me,LOT-60968631,70,MAT-37872,EU02,Comparator,CT-1816-RCG
LOT-73297905,Production,675508043,580504193,IL2696701,Total,192885132,Country,MAT-37872,Free,215887CE-296,16279966-43F,AP03,980359068,Transfer,684814639,SD150075,"Nelson, Sellers and Herring",Old,Perform,LOT-73297905,183,MAT-37872,AP03,Comparator,CT-1816-RCG
LOT-19895402,Packaging,275056727,940846325,IL3816500,Set,386060384,Site,MAT-55297,He,40399FB4-B0C,48F49FFF-6F5,EU02,135174082,Production,997683468,SD519927,Clayton-Reynolds,Talk,Action,LOT-19895402,363,MAT-55297,EU02,Comparator,CT-1816-RCG
LOT-36343625,Packaging,574427301,340164469,IL9195158,Question,331171808,Country,MAT-55297,Large,0ACC4422-7D1,57C036FF-7C4,US01,622317601,Transfer,367950749,SD401841,Parker LLC,Present,Moment,LOT-36343625,236,MAT-55297,US01,Comparator,CT-1816-RCG
LOT-57559766,Distribution,553759395,288001792,IL6599802,Since,358466950,Study,MAT-14039,Be,37399508-4AE,216A0628-CE4,US01,177889999,Production,748590939,SD701655,Pena Inc,Head,Unit,LOT-57559766,248,MAT-14039,US01,Investigational Product,CT-6109-EDZ
LOT-83708194,Packaging,229217361,948258295,IL5029130,Usually,424969241,Study,MAT-14039,Garden,7E8BFE7E-71C,22D3A96C-CE5,US01,653793182,Transfer,881345121,SD420307,Hernandez-Bridges,Drug,Ago,LOT-83708194,246,MAT-14039,US01,Investigational Product,CT-6109-EDZ
LOT-51723458,Packaging,661651588,787854194,IL2313554,Trip,459010783,Site,MAT-14039,Board,AB2CA71A-47C,19165D8C-A56,US01,971934076,Production,104700088,SD679418,"Berg, Lynch and Wilson",Wide,Public,LOT-51723458,126,MAT-14039,US01,Investigational Product,CT-6109-EDZ
LOT-86190416,Production,518914557,369100905,IL3993570,According,858181583,Site,MAT-14039,Fire,DA07F536-CAB,A3929C23-5C7,US01,967191851,Production,944312270,SD987814,Bell Ltd,Table,Because,LOT-86190416,199,MAT-14039,US01,Investigational Product,CT-6109-EDZ
LOT-31019227,Production,409497725,560647832,IL6595175,Outside,790397811,Study,MAT-86168,While,6BF20FDB-A43,0559EAA9-2EA,US01,635744442,Transfer,190104096,SD826597,Burke LLC,Today,Money,LOT-31019227,391,MAT-86168,US01,Investigational Product,CT-6109-EDZ
LOT-17958339,Production,705948449,176444893,IL9992099,Budget,826800319,Study,MAT-86168,Country,535A2ABA-732,6AA14615-5B4,AP03,805008416,Transfer,407813501,SD208382,"Nelson, Lucero and Bell",Admit,Wish,LOT-17958339,288,MAT-86168,AP03,Investigational Product,CT-6109-EDZ
LOT-49441641,Distribution,673166776,835645519,IL7582594,Ability,162981204,Country,MAT-86168,Pressure,16279966-43F,29C1FE4B-0BF,LAT04,254933810,Production,622278074,SD655067,Johnson-Gray,Practice,End,LOT-49441641,359,MAT-86168,LAT04,Investigational Product,CT-6109-EDZ
LOT-70811881,Production,867837282,681843891,IL3715063,Born,495036495,Country,MAT-86168,See,5B47E6AA-FAF,5B67D985-194,LAT04,541250288,Production,583319744,SD393796,Barber-Hammond,Experience,Site,LOT-70811881,490,MAT-86168,LAT04,Investigational Product,CT-6109-EDZ
LOT-72460791,Production,365613602,982713032,IL9435920,Book,751064714,Country,MAT-16627,Computer,954B5F54-FC0,A66ABC3D-ED8,AP03,874244864,Production,275689904,SD980240,"Lewis, Bond and Johnson",Through,Serious,LOT-72460791,335,MAT-16627,AP03,Investigational Product,CT-9831-IEW
LOT-17670878,Distribution,756729018,451285374,IL4988891,Soldier,660988879,Country,MAT-16627,Pull,ECA8CBD1-E04,04FD0749-0E8,EU02,733009170,Production,645151942,SD382460,Johnson-Hensley,How,Third,LOT-17670878,388,MAT-16627,EU02,Investigational Product,CT-9831-IEW
LOT-99664516,Packaging,837204004,671345057,IL1486678,Whom,666696513,Study,MAT-33775,Know,E70B0CD9-41B,84171620-97D,LAT04,427263926,Transfer,243118874,SD487989,"Townsend, Carlson and Rose",Difference,Notice,LOT-99664516,491,MAT-33775,LAT04,Ancillary Supply,CT-9831-IEW
LOT-26376337,Production,346110291,856038857,IL5164444,At,137628633,Country,MAT-33775,Individual,57C036FF-7C4,F810F57F-82C,AP03,630850798,Production,435580334,SD400023,"Jones, Vargas and Cooper",Ready,System,LOT-26376337,167,MAT-33775,AP03,Ancillary Supply,CT-9831-IEW
LOT-57874485,Production,506407357,503418487,IL6451028,Food,206093911,Study,MAT-16078,Table,93E2AB3B-625,FDCEFEF5-08F,LAT04,971252204,Production,980338395,SD337974,"Leblanc, Robertson and Dunn",Measure,Nothing,LOT-57874485,430,MAT-16078,LAT04,Comparator,CT-9831-IEW
LOT-82476241,Packaging,354227711,971599100,IL6008906,Easy,116766880,Site,MAT-16078,White,10DC3E02-6DA,D12FEB9C-3EF,LAT04,310767047,Production,961019220,SD957038,Adkins-Obrien,Agree,State,LOT-82476241,462,MAT-16078,LAT04,Comparator,CT-9831-IEW
LOT-54732004,Production,349884893,663281988,IL3393031,Near,333647741,Country,MAT-49651,Beautiful,22D3A96C-CE5,C8CA32C6-E9E,LAT04,487921320,Production,455753087,SD465709,Clarke-Gaines,Bring,Pm,LOT-54732004,61,MAT-49651,LAT04,Investigational Product,CT-9831-IEW
LOT-46257312,Distribution,232219426,737514755,IL5333432,Represent,874554214,Study,MAT-49651,Free,216A0628-CE4,DB096D51-BDC,AP03,526484267,Transfer,623985049,SD793523,"Robertson, Wilson and Vang",Story,Child,LOT-46257312,89,MAT-49651,AP03,Investigational Product,CT-9831-IEW
LOT-18410275,Distribution,185179642,372116796,IL6769400,Piece,670432435,Country,MAT-49651,Question,B4AACE38-46A,E7347777-52D,AP03,459149160,Production,174837159,SD944004,Anderson Group,Prove,Bill,LOT-18410275,102,MAT-49651,AP03,Investigational Product,CT-9831-IEW
LOT-70273170,Distribution,321561609,650360775,IL3947994,Phone,123248563,Country,MAT-49651,Face,0DB649CA-F40,7697D79B-3FA,EU02,531390885,Transfer,902688783,SD385710,Evans-Singh,Worker,Keep,LOT-70273170,162,MAT-49651,EU02,Investigational Product,CT-9831-IEW
LOT-13344610,Packaging,720306688,988975564,IL5352387,Very,253950328,Study,MAT-34899,Capital,18BE1300-48F,5B47E6AA-FAF,LAT04,515846523,Production,190997470,SD180609,Johnson PLC,Song,Subject,LOT-13344610,246,MAT-34899,LAT04,Investigational Product,CT-3395-UCM
LOT-10817867,Production,372815284,451212144,IL7014550,Walk,154210637,Site,MAT-34899,Central,B9D604CE-B27,C93ED8AD-5FB,US01,669840839,Transfer,130226214,SD894969,Newman-Bruce,Type,Great,LOT-10817867,238,MAT-34899,US01,Investigational Product,CT-3395-UCM
LOT-30151730,Distribution,495082727,882641367,IL7823407,Science,627295297,Study,MAT-40706,Thus,0ACC4422-7D1,1DE4A4D7-80D,EU02,508968011,Production,552265665,SD674723,Graham PLC,Rate,Community,LOT-30151730,134,MAT-40706,EU02,Investigational Product,CT-3395-UCM
LOT-62442527,Production,101395551,960957682,IL4733507,Act,658790737,Country,MAT-40706,Feel,805781A7-E1A,053A9347-DD8,AP03,858908002,Production,309328717,SD455085,Baker and Sons,Reduce,Least,LOT-62442527,296,MAT-40706,AP03,Investigational Product,CT-3395-UCM
LOT-64232123,Packaging,230236392,245321686,IL8554049,Light,506468549,Country,MAT-40706,Could,A124C449-F40,7B08EEA7-A6C,AP03,569490741,Production,411914605,SD421390,Rogers Group,Where,Movie,LOT-64232123,141,MAT-40706,AP03,Investigational Product,CT-3395-UCM
LOT-16679340,Production,757220669,603115190,IL6343687,Eight,573986348,Site,MAT-82814,Watch,6779AAB3-F3B,9E01693A-016,US01,201716670,Transfer,132542696,SD466162,"Jones, Wells and Griffith",Until,Focus,LOT-16679340,54,MAT-82814,US01,Investigational Product,CT-3395-UCM
LOT-52789053,Packaging,162489347,167156446,IL7113332,Bill,419528353,Study,MAT-82814,Sure,D30AB6AE-A77,5B47E6AA-FAF,LAT04,735575694,Transfer,604760301,SD732655,Hughes Inc,Partner,Nor,LOT-52789053,210,MAT-82814,LAT04,Investigational Product,CT-3395-UCM
LOT-62567327,Distribution,586341991,347338591,IL5711563,Best,777595173,Study,MAT-82814,Growth,F5EA0FB0-86D,72E2F609-A3F,US01,525525278,Production,286830535,SD377965,Carlson-Vaughn,Education,Day,LOT-62567327,191,MAT-82814,US01,Investigational Product,CT-3395-UCM
LOT-66136964,Distribution,192822998,774050023,IL7735515,Education,646732763,Site,MAT-40089,Agency,053A9347-DD8,C93ED8AD-5FB,US01,460646849,Production,643060641,SD421083,"Bradley, Barnes and Graves",Peace,Coach,LOT-66136964,472,MAT-40089,US01,Investigational Product,CT-4229-AWU
LOT-19373416,Production,825636952,959436368,IL2536786,Land,819871565,Country,MAT-40089,Get,6578EBA2-254,805781A7-E1A,LAT04,484851652,Transfer,311295555,SD277688,"Rasmussen, Torres and Phillips",Poor,Special,LOT-19373416,287,MAT-40089,LAT04,Investigational Product,CT-4229-AWU
LOT-22597604,Packaging,119071524,422767449,IL6049392,Main,993484376,Site,MAT-47986,War,41D466A6-21E,CCD65B39-FFB,EU02,106107771,Transfer,600254535,SD154735,Zimmerman LLC,Growth,Heavy,LOT-22597604,349,MAT-47986,EU02,Investigational Product,CT-4229-AWU
LOT-12068529,Production,775407612,112978555,IL8521338,Responsibility,675688866,Site,MAT-47986,Door,AD35DE4B-215,137379DF-53E,LAT04,942948759,Transfer,492920426,SD165721,"Ford, Chan and Swanson",Professional,Although,LOT-12068529,406,MAT-47986,LAT04,Investigational Product,CT-4229-AWU
LOT-13988492,Distribution,779023694,566593129,IL4263427,Put,359006996,Study,MAT-47986,Bill,C8E46777-965,41760EC3-898,AP03,614886432,Production,599530825,SD973479,"Willis, Gardner and Cox",Week,Account,LOT-13988492,183,MAT-47986,AP03,Investigational Product,CT-4229-AWU
LOT-91082003,Packaging,180014618,657324852,IL8180024,Wish,433935419,Study,MAT-30745,Land,0B269C0B-68B,43A721B6-D4D,LAT04,874849005,Transfer,627737764,SD994989,"Flores, Morales and Ward",Pay,Hope,LOT-91082003,413,MAT-30745,LAT04,Comparator,CT-4229-AWU
LOT-81143076,Packaging,631742298,947236822,IL5188421,Hospital,189592711,Country,MAT-30745,Behind,E9DC4109-30B,ACC4DB4C-3ED,AP03,397843270,Production,660583129,SD224058,Smith-Roberts,He,Catch,LOT-81143076,306,MAT-30745,AP03,Comparator,CT-4229-AWU
LOT-26118494,Packaging,211248679,769651406,IL9469054,But,434401844,Study,MAT-30745,Interest,D5E639AD-82A,EA3FBE37-E91,EU02,982491836,Transfer,728531842,SD264460,Jimenez-Barton,Network,Property,LOT-26118494,460,MAT-30745,EU02,Comparator,CT-4229-AWU
LOT-30324704,Production,694436329,287253881,IL1200865,Kind,721039790,Site,MAT-22354,Beyond,661396B5-BE2,0559EAA9-2EA,US01,102633760,Production,466405166,SD658867,"Greene, Tran and Townsend",Much,Training,LOT-30324704,183,MAT-22354,US01,Investigational Product,CT-4229-AWU
LOT-85774109,Packaging,656439148,302566490,IL2326745,Low,185120153,Site,MAT-22354,Loss,7E8BFE7E-71C,13D23ECC-032,LAT04,385889278,Production,609141299,SD443192,"Watkins, Navarro and Smith",Care,Small,LOT-85774109,490,MAT-22354,LAT04,Investigational Product,CT-4229-AWU
LOT-34068905,Packaging,407184827,285512323,IL3650793,Catch,302853254,Site,MAT-22354,Director,820B4015-B5D,ECE5617D-411,EU02,643352610,Transfer,845075763,SD690901,Glover Ltd,Look,Thing,LOT-34068905,371,MAT-22354,EU02,Investigational Product,CT-4229-AWU
LOT-16473868,Packaging,925873849,509204549,IL2022387,Ask,933440098,Country,MAT-22610,Career,D9F20807-A58,9D1D8DAF-160,EU02,354492491,Transfer,378044080,SD434973,Allen and Sons,Part,Wife,LOT-16473868,223,MAT-22610,EU02,Ancillary Supply,CT-9771-CZL
LOT-85311620,Packaging,695156939,573326990,IL6959493,Suffer,148414096,Country,MAT-22610,Admit,E7347777-52D,694E96DC-2A6,US01,885667640,Transfer,713348570,SD890998,"Baker, Thomas and Wright",Decade,Forward,LOT-85311620,283,MAT-22610,US01,Ancillary Supply,CT-9771-CZL
LOT-83383410,Packaging,449820685,494254565,IL6466744,Meeting,788816320,Study,MAT-22610,This,DB096D51-BDC,56F016D1-42A,AP03,913807913,Production,268143954,SD645477,"Swanson, Hunter and Boyer",Range,Hour,LOT-83383410,113,MAT-22610,AP03,Ancillary Supply,CT-9771-CZL
LOT-73505709,Packaging,310393039,106165456,IL8717626,Entire,391726229,Country,MAT-22610,Growth,9E01693A-016,93E2AB3B-625,AP03,305414062,Production,346940104,SD778528,"Lynch, Terry and Acevedo",Community,Right,LOT-73505709,447,MAT-22610,AP03,Ancillary Supply,CT-9771-CZL
LOT-29648706,Distribution,575071987,354857212,IL7934724,Risk,161772705,Site,MAT-93544,Friend,D9F20807-A58,AB2CA71A-47C,LAT04,365228698,Transfer,147752953,SD597551,Guerrero-Hanna,Single,Certain,LOT-29648706,252,MAT-93544,LAT04,Investigational Product,CT-9771-CZL
LOT-11996537,Distribution,487828524,176287117,IL8352099,Goal,944027359,Country,MAT-93544,Over,0ACC4422-7D1,053A9347-DD8,AP03,913770735,Transfer,126370295,SD236989,Johnson and Sons,Site,Draw,LOT-11996537,420,MAT-93544,AP03,Investigational Product,CT-9771-CZL
LOT-49258177,Distribution,758911990,118783704,IL7582244,At,378382233,Study,MAT-93544,This,A8BF7403-DA8,D1C0BAB1-86B,EU02,737004249,Production,949834346,SD724590,Jackson PLC,Behavior,Type,LOT-49258177,160,MAT-93544,EU02,Investigational Product,CT-9771-CZL
LOT-27607761,Distribution,865886510,176409331,IL5531195,Fast,886834368,Country,MAT-39627,Democratic,974CD620-D0E,C863EED3-4DE,EU02,233865315,Production,299961807,SD496999,"Lewis, Fuller and Mcdowell",Tax,Truth,LOT-27607761,170,MAT-39627,EU02,Comparator,CT-5014-EEP
LOT-35809899,Production,962036581,758691644,IL7795500,Article,292365657,Study,MAT-39627,Place,72B8F29D-C0E,F5EA0FB0-86D,US01,396530785,Transfer,993710315,SD475318,Holt Group,Stay,Follow,LOT-35809899,182,MAT-39627,US01,Comparator,CT-5014-EEP
LOT-29384973,Packaging,664307038,967287690,IL8357687,Sure,756134231,Study,MAT-53554,Throughout,137379DF-53E,7F8EA55C-605,EU02,944977111,Transfer,463901125,SD852426,Reid-Chambers,Job,Church,LOT-29384973,336,MAT-53554,EU02,Ancillary Supply,CT-5014-EEP
LOT-27803441,Production,402531435,610225115,IL9951926,Democrat,883064484,Site,MAT-53554,Man,43A721B6-D4D,AAD7229E-CD6,EU02,646815154,Production,408327939,SD550773,"Lyons, Johnson and Delacruz",Accept,Strong,LOT-27803441,413,MAT-53554,EU02,Ancillary Supply,CT-5014-EEP
LOT-41301239,Production,515376821,499093951,IL6422132,Pm,159585600,Country,MAT-46171,Deep,24B63DC5-4E0,C863EED3-4DE,EU02,567609678,Production,997349019,SD327770,"Schwartz, Castro and Jackson",Available,None,LOT-41301239,202,MAT-46171,EU02,Ancillary Supply,CT-3636-AVP
LOT-74019635,Distribution,387480402,280344716,IL4445600,Shake,450697251,Country,MAT-46171,But,D822806C-DEC,F07DEB5E-390,LAT04,309775578,Production,581604637,SD772282,Soto and Sons,Series,Peace,LOT-74019635,244,MAT-46171,LAT04,Ancillary Supply,CT-3636-AVP
LOT-91968301,Packaging,600725594,173179836,IL2909792,Agent,273654502,Study,MAT-46171,Local,423FCCAC-9C3,06816510-E5D,EU02,852348752,Transfer,301147127,SD593388,Diaz Group,Nothing,Will,LOT-91968301,183,MAT-46171,EU02,Ancillary Supply,CT-3636-AVP
LOT-47865891,Packaging,452776993,558454687,IL5599913,Top,429386208,Study,MAT-46171,Day,3C28F46E-D2C,72B8F29D-C0E,LAT04,839854301,Transfer,249144850,SD332002,"Taylor, Ryan and Lucas",Step,Wife,LOT-47865891,170,MAT-46171,LAT04,Ancillary Supply,CT-3636-AVP
LOT-86551756,Packaging,647639373,791386086,IL6358602,Set,704114351,Country,MAT-54383,Home,CE77A960-CDA,AED5210F-538,EU02,473422221,Production,618611211,SD866232,Williams-Duncan,Condition,American,LOT-86551756,110,MAT-54383,EU02,Comparator,CT-3636-AVP
LOT-89567405,Distribution,451741356,680285800,IL5046468,Others,224733507,Site,MAT-54383,Majority,49D908EC-D19,2D1D3AF0-A99,US01,403220266,Production,251264161,SD108506,Wheeler-Watson,No,Consumer,LOT-89567405,445,MAT-54383,US01,Comparator,CT-3636-AVP
LOT-27778437,Packaging,609326030,139020741,IL9189855,Police,535098664,Site,MAT-54383,Radio,40399FB4-B0C,A7510327-2D1,EU02,385086802,Transfer,159761387,SD750532,Davis-Jones,Resource,Truth,LOT-27778437,85,MAT-54383,EU02,Comparator,CT-3636-AVP
LOT-26774933,Distribution,738011890,434795568,IL3970672,Former,328222301,Country,MAT-66257,Final,E1DECF3D-AD6,18BE1300-48F,US01,175286056,Transfer,128541682,SD340847,Bennett-Webb,Tax,She,LOT-26774933,237,MAT-66257,US01,Comparator,CT-7484-BIH
LOT-26012891,Distribution,537450515,688042679,IL9710974,Vote,381667219,Study,MAT-66257,Toward,43A721B6-D4D,41760EC3-898,AP03,389206925,Transfer,226241487,SD701934,Fisher Group,Let,Not,LOT-26012891,304,MAT-66257,AP03,Comparator,CT-7484-BIH
LOT-16159838,Distribution,763867159,832399635,IL5390475,Teach,179530167,Country,MAT-66257,Meet,22D3A96C-CE5,6C1C5C9C-E11,US01,685529821,Transfer,119175853,SD834482,Duncan Inc,Customer,True,LOT-16159838,63,MAT-66257,US01,Comparator,CT-7484-BIH
LOT-31439488,Packaging,271952788,442084281,IL4498268,Occur,995520795,Country,MAT-66374,Successful,A7AEB7DC-2CF,19165D8C-A56,US01,502483054,Transfer,218851244,SD514325,"Stevens, Morales and Hall",Movie,Billion,LOT-31439488,66,MAT-66374,US01,Ancillary Supply,CT-7484-BIH
LOT-34726751,Packaging,414580862,892815306,IL2968079,Leg,311348445,Country,MAT-66374,Not,D4D67F91-29D,502EC192-A84,US01,168680193,Transfer,162385634,SD361627,Arnold Group,Story,Stand,LOT-34726751,335,MAT-66374,US01,Ancillary Supply,CT-7484-BIH
LOT-69561395,Packaging,749056376,874944671,IL9195575,Wonder,899018561,Study,MAT-66374,West,DC052809-D93,D620F7F5-660,LAT04,665958004,Production,127322624,SD467871,Williams-Mejia,Site,Instead,LOT-69561395,238,MAT-66374,LAT04,Ancillary Supply,CT-7484-BIH
LOT-65547337,Distribution,683698950,755152944,IL8073558,High,462640094,Country,MAT-74247,Prove,13D23ECC-032,84747643-3B7,LAT04,934845704,Transfer,278546170,SD362417,Miller Ltd,Trouble,Natural,LOT-65547337,147,MAT-74247,LAT04,Investigational Product,CT-7484-BIH
LOT-39340148,Packaging,665723997,748556816,IL1545041,Throughout,265453826,Site,MAT-74247,Wonder,46866D25-F7F,F2407184-2CE,LAT04,278060338,Production,433826392,SD245786,"Donaldson, Lane and Smith",Success,Happy,LOT-39340148,366,MAT-74247,LAT04,Investigational Product,CT-7484-BIH
LOT-17450919,Packaging,756603195,869845310,IL7006053,Wrong,694065909,Site,MAT-18458,So,4FFC728A-450,FDCEFEF5-08F,LAT04,459013367,Production,340261229,SD763466,Washington-Grant,Say,Although,LOT-17450919,315,MAT-18458,LAT04,Ancillary Supply,CT-7487-KNX
LOT-75893896,Production,220502028,599930172,IL9578972,Loss,423808184,Country,MAT-18458,Exactly,7BB74C9C-D85,84171620-97D,LAT04,852629719,Production,500185908,SD629300,"Jackson, Cortez and Miles",Night,Get,LOT-75893896,378,MAT-18458,LAT04,Ancillary Supply,CT-7487-KNX
LOT-59884250,Production,426915771,910337902,IL2383228,Art,252958169,Study,MAT-18458,End,84747643-3B7,2F2C7D94-2CE,EU02,338105536,Transfer,296228187,SD722791,"Smith, Jones and Johnston",Far,Clear,LOT-59884250,87,MAT-18458,EU02,Ancillary Supply,CT-7487-KNX
LOT-10801382,Production,458658611,655544798,IL6390612,Despite,800912683,Study,MAT-18458,Citizen,333F654A-085,D9F20807-A58,US01,170471090,Transfer,796011788,SD225820,Clark-David,Former,Get,LOT-10801382,303,MAT-18458,US01,Ancillary Supply,CT-7487-KNX
LOT-90900846,Production,243144405,981440722,IL2531571,Medical,797115920,Study,MAT-56157,Different,1237E7EE-E08,41760EC3-898,AP03,440785188,Production,550783457,SD734498,Hudson and Sons,Debate,Leave,LOT-90900846,149,MAT-56157,AP03,Comparator,CT-7487-KNX
LOT-70758392,Production,192750638,120394674,IL6621119,Collection,363955799,Country,MAT-56157,Rest,ECA8CBD1-E04,CE77A960-CDA,EU02,892945566,Transfer,585469490,SD447987,Simmons Group,Catch,Air,LOT-70758392,224,MAT-56157,EU02,Comparator,CT-7487-KNX
LOT-25529234,Production,488684922,916032499,IL9586647,Surface,474861897,Site,MAT-56157,When,72B8F29D-C0E,B83CFAB5-B68,US01,105877819,Production,312458171,SD392364,Martinez-Anderson,Moment,Listen,LOT-25529234,268,MAT-56157,US01,Comparator,CT-7487-KNX
LOT-99304671,Production,850426696,653291356,IL2127577,Structure,736234440,Country,MAT-59372,Increase,7E8BFE7E-71C,43F442CA-654,US01,209721883,Production,492992752,SD830146,Sanchez LLC,Sure,Raise,LOT-99304671,331,MAT-59372,US01,Ancillary Supply,CT-7487-KNX
LOT-31152831,Packaging,933273485,932573882,IL6451162,True,592823900,Country,MAT-59372,Much,44597FDE-ED2,502EC192-A84,US01,453925107,Production,578538965,SD339368,Glover-Stephens,Bag,Appear,LOT-31152831,319,MAT-59372,US01,Ancillary Supply,CT-7487-KNX
LOT-10539218,Production,726129381,113663415,IL9397957,Number,724088278,Site,MAT-73628,Tonight,37399508-4AE,BAFF899E-7D4,LAT04,551083986,Transfer,617267510,SD721603,Garcia-Griffith,Question,Free,LOT-10539218,455,MAT-73628,LAT04,Ancillary Supply,CT-3230-HFO
LOT-32873081,Production,349545674,926203760,IL5334225,Foot,971608275,Study,MAT-73628,Dark,E70B0CD9-41B,3C28F46E-D2C,US01,456725983,Production,747304259,SD119979,Turner-Ruiz,Professional,Nice,LOT-32873081,157,MAT-73628,US01,Ancillary Supply,CT-3230-HFO
LOT-28229614,Packaging,835378287,631639882,IL7096269,Each,312631968,Site,MAT-68176,Sister,79EDC353-4DF,37399508-4AE,EU02,826282372,Transfer,953608226,SD992403,Parker-Cole,Fly,Lead,LOT-28229614,177,MAT-68176,EU02,Comparator,CT-3230-HFO
LOT-78676156,Production,924188957,580281868,IL2683729,Eat,836834105,Country,MAT-68176,Senior,18BE1300-48F,CDED8377-18B,LAT04,775161909,Transfer,945768442,SD630785,Brown Group,Congress,Character,LOT-78676156,348,MAT-68176,LAT04,Comparator,CT-3230-HFO
LOT-46366370,Distribution,814733310,456219730,IL2273772,Wind,715310748,Country,MAT-68176,Old,29A6CFAF-AF6,4C575DF3-DBF,LAT04,559221450,Production,373389774,SD642280,Smith LLC,Fire,East,LOT-46366370,360,MAT-68176,LAT04,Comparator,CT-3230-HFO
LOT-65730343,Production,557296032,460849936,IL9786187,Class,699506130,Site,MAT-54713,Production,5B67D985-194,72E2F609-A3F,US01,672917991,Production,562535952,SD114030,Benson Inc,Environmental,Me,LOT-65730343,194,MAT-54713,US01,Ancillary Supply,CT-3230-HFO
LOT-63929636,Production,598974825,762602328,IL9793699,May,321759615,Site,MAT-54713,Green,CD20E168-B67,060D2D29-5FD,US01,796677318,Transfer,621624737,SD789217,"Adams, Lopez and Washington",Almost,Kind,LOT-63929636,57,MAT-54713,US01,Ancillary Supply,CT-3230-HFO
LOT-58463446,Distribution,106380624,299397335,IL4989400,Prove,419990577,Country,MAT-54713,Put,3927BB78-AC5,7D85A9BB-51A,LAT04,511359298,Transfer,320246430,SD420199,"Allen, Miller and Roman",Window,International,LOT-58463446,83,MAT-54713,LAT04,Ancillary Supply,CT-3230-HFO
LOT-54197135,Production,504725259,147592130,IL8515049,Choice,367338499,Site,MAT-54713,Enjoy,AED5210F-538,092A544D-1B7,AP03,607855183,Transfer,470303347,SD910335,"Rogers, Kim and Baker",Break,Officer,LOT-54197135,139,MAT-54713,AP03,Ancillary Supply,CT-3230-HFO
LOT-28144033,Distribution,728602563,999034601,IL2305561,Million,387445439,Site,MAT-75647,Door,7EA3E715-4EB,D465FA61-668,US01,547857475,Transfer,953819614,SD930324,Brown Inc,Much,Less,LOT-28144033,228,MAT-75647,US01,Ancillary Supply,CT-6551-IBW
LOT-11280930,Production,668688086,582852093,IL4098536,Visit,653151992,Site,MAT-75647,Smile,E9DC4109-30B,B8C67610-950,LAT04,410546074,Transfer,372539781,SD353830,Bird-Baker,Join,Throw,LOT-11280930,107,MAT-75647,LAT04,Ancillary Supply,CT-6551-IBW
LOT-89806740,Packaging,996827938,415727420,IL6278915,Drop,285221801,Study,MAT-79992,Three,7B08EEA7-A6C,56F016D1-42A,AP03,240435695,Transfer,456151394,SD577341,Ibarra-Noble,Fact,Try,LOT-89806740,328,MAT-79992,AP03,Ancillary Supply,CT-6551-IBW
LOT-71401478,Packaging,228104005,485659984,IL9171968,Dinner,729347710,Country,MAT-79992,Somebody,4D00FA38-F44,A124C449-F40,EU02,912824056,Transfer,566097969,SD630415,"Manning, Valentine and Myers",Item,You,LOT-71401478,399,MAT-79992,EU02,Ancillary Supply,CT-6551-IBW
LOT-34574127,Production,268532075,863643900,IL1261071,Light,298942735,Study,MAT-79992,Authority,082EC977-749,721F5CBB-8FF,EU02,225585261,Production,933593187,SD352790,Kennedy Ltd,Interest,Value,LOT-34574127,456,MAT-79992,EU02,Ancillary Supply,CT-6551-IBW
LOT-20749320,Distribution,148155284,484095394,IL3207793,Big,197301573,Study,MAT-52579,At,C3C4CA8C-DA3,A8BF7403-DA8,EU02,523521412,Production,980810574,SD383447,"Fuller, Clark and Ramsey",Hear,Page,LOT-20749320,429,MAT-52579,EU02,Comparator,CT-6551-IBW
LOT-44540514,Packaging,529519588,418346821,IL4423916,Focus,392853386,Country,MAT-52579,Former,0DB649CA-F40,46866D25-F7F,EU02,932987318,Transfer,821067280,SD737689,Rocha-Johnson,Better,Case,LOT-44540514,385,MAT-52579,EU02,Comparator,CT-6551-IBW
LOT-91103841,Packaging,713915183,615404907,IL4583542,Pattern,662405262,Country,MAT-52579,Mouth,D12FEB9C-3EF,84747643-3B7,LAT04,206812213,Production,514794721,SD635956,"Howe, Walker and Grimes",Set,Reduce,LOT-91103841,432,MAT-52579,LAT04,Comparator,CT-6551-IBW
